one huge opportunity .	one huge opportunity .	NUM ADJ N;SG _
43.6 m - number of americans without health insurance by the end of 2002 ( more than 15 per cent of the population ) .	43.6 m - number of americans without health insurance by the end of 2002 ( more than 15 per cent of the population ) .	NUM NUM _ N;SG ADP PL;PROPN ADP N;SG N;SG ADP DEF;DET N;SG ADP NUM _ ADJ;CMPR ADP NUM N;SG N;SG ADP DEF;DET N;SG _ _
i agree totally !	i agree totally !	1;NOM;PRO;SG FIN;IND;PRS;V ADV _
0 - number of minutes that president bush , vice - president dick cheney , the defence secretary , donald rumsfeld , the assistant defence secretary , paul wolfowitz , the former chairman of the defence policy board , richard perle , and the white house chief of staff , karl rove - the main proponents of the war in iraq - served in combat ( combined ) .	0 - number of minute that president bush , vice - president dick cheney , the defence secretary , donald rumsfeld , the assistant defence secretary , paul wolfowitz , the former chairman of the defence policy board , richard perle , and the white house chief of staff , karl rove - the main proponent of the war in iraq - serve in combat ( combine ) .	NUM _ N;SG ADP N;PL ADV PROPN;SG PROPN;SG _ PROPN;SG _ PROPN;SG PROPN;SG PROPN;SG _ DEF;DET PROPN;SG PROPN;SG _ PROPN;SG PROPN;SG _ DEF;DET N;SG N;SG PROPN;SG _ PROPN;SG PROPN;SG _ DEF;DET ADJ N;SG ADP DEF;DET PROPN;SG PROPN;SG PROPN;SG _ PROPN;SG PROPN;SG _ CONJ DEF;DET PROPN;SG PROPN;SG PROPN;SG ADP PROPN;SG _ PROPN;SG PROPN;SG _ DEF;DET ADJ N;PL ADP DEF;DET N;SG ADP PROPN;SG _ FIN;IND;PST;V ADP N;SG _ PST;V;V.PTCP _ _
" land mines , " said the kuwaiti woman .	" land mine , " say the kuwaiti woman .	_ N;SG N;PL _ _ FIN;IND;PST;V DEF;DET ADJ N;SG _
farewell for now ...	farewell for now ...	INTJ ADP ADV _
do you have to go through a medical exam right away ?	do you have to go through a medical exam right away ?	FIN;IND;PRS;V 2;NOM;PRO NFIN;V PART NFIN;V ADP DET;INDF ADJ N;SG ADV ADV _
each of you should be proud of your massive contributions throughout the year !	each of you should be proud of you massive contribution throughout the year !	DET ADP 2;ACC;PRO FIN;V NFIN;V ADJ ADP 2;PRO ADJ N;PL ADP DEF;DET N;SG _
kim .	kim .	PROPN;SG _
at one point they told me the dog had been fixed , the next day it had n't .	at one point they tell i the dog have be fix , the next day it have not .	ADP NUM N;SG 3;NOM;PL;PRO FIN;IND;PST;V 1;ACC;PRO;SG DEF;DET N;SG FIN;IND;PST;V PST;V;V.PTCP PASS;PST;V;V.PTCP _ DEF;DET ADJ N;SG 3;NEUT;NOM;PRO;SG FIN;IND;PST;V PART _
molten brass is damn hot and usually it 's pressurized gas and forced air or oxygen .	molten brass be damn hot and usually it be pressurize gas and force air or oxygen .	ADJ N;SG 3;FIN;IND;PRS;SG;V ADV ADJ CONJ ADV 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP N;SG CONJ PST;V;V.PTCP N;SG CONJ N;SG _
please review the process below :	please review the process below :	INTJ FIN;IMP;V DEF;DET N;SG ADV _
great .	great .	ADJ _
in 1998 they were joined by egyptians from the al - jihad al - islami group of ayman al - zawahiri ( many of these were from upper egypt , especially asyut and environs ) .	in 1998 they be join by egyptians from the al - jihad al - islami group of ayman al - zawahiri ( many of these be from upper egypt , especially asyut and environs ) .	ADP NUM 3;NOM;PL;PRO FIN;IND;PST;V PASS;PST;V;V.PTCP ADP PL;PROPN ADP DEF;DET PROPN;SG _ PROPN;SG PROPN;SG _ PROPN;SG N;SG ADP PROPN;SG PROPN;SG _ PROPN;SG _ ADJ ADP PL;PRO FIN;IND;PST;V ADP PROPN;SG PROPN;SG _ ADV PROPN;SG CONJ N;PL _ _
please review it and let me know if you have any comments on or before tuesday afternoon ( i will be out of the office monday ) .	please review it and let i know if you have any comment on or before tuesday afternoon ( i will be out of the office monday ) .	INTJ FIN;IMP;V 3;ACC;NEUT;PRO;SG CONJ FIN;IMP;V 1;ACC;PRO;SG NFIN;V CONJ 2;NOM;PRO FIN;IND;PRS;V DET N;PL ADP CONJ ADP PROPN;SG N;SG _ 1;NOM;PRO;SG FIN;V NFIN;V ADP ADP DEF;DET N;SG PROPN;SG _ _
that has never happened before so i was kinda realizing at that point that he was a little interested .	that have never happen before so i be kinda realize at that point that he be a little interested .	PRO;SG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP ADV ADV 1;NOM;PRO;SG 1;FIN;IND;PST;SG;V ADV PRS;V;V.PTCP ADP DET;SG N;SG CONJ 3;MASC;NOM;PRO;SG 3;FIN;IND;PST;SG;V DET;INDF ADJ ADJ _
when you feed him how many pinkies do you feed him ?	when you feed he how many pinkie do you feed he ?	ADV 2;NOM;PRO FIN;IND;PRS;V 3;ACC;MASC;PRO;SG ADV ADJ N;PL FIN;IND;PRS;V 2;NOM;PRO NFIN;V 3;ACC;MASC;PRO;SG _
she has no experience with snakes and has never held one .	she have no experience with snake and have never hold one .	3;FEM;NOM;PRO;SG 3;FIN;IND;PRS;SG;V DET N;SG ADP N;PL CONJ 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP NUM _
stan :	stan :	PROPN;SG _
international law does not know how to handle someone who sends children to throw stones , stands behind them and shoots with immunity and can not be arrested because he is sheltered by a government .	international law do not know how to handle someone who send child to throw stone , stand behind they and shoot with immunity and can not be arrest because he be shelter by a government .	ADJ N;SG 3;FIN;IND;PRS;SG;V PART NFIN;V ADV PART NFIN;V PRO;SG PRO 3;FIN;IND;PRS;SG;V N;PL PART NFIN;V N;PL _ 3;FIN;IND;PRS;SG;V ADP 3;ACC;PL;PRO CONJ 3;FIN;IND;PRS;SG;V ADP N;SG CONJ FIN;V PART NFIN;V PASS;PST;V;V.PTCP CONJ 3;MASC;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PASS;PST;V;V.PTCP ADP DET;INDF N;SG _
i do n't feel anything until noon .	i do not feel anything until noon .	1;NOM;PRO;SG FIN;IND;PRS;V PART NFIN;V PRO;SG ADP N;SG _
at the front door of his office , i nearly turned around .	at the front door of he office , i nearly turn around .	ADP DEF;DET ADJ N;SG ADP 3;MASC;PRO;SG N;SG _ 1;NOM;PRO;SG ADV FIN;IND;PST;V ADV _
kabul :	kabul :	PROPN;SG _
just recently discovered them last time i was down there , they 're very nice ) www.kaffeeeis.co.nz	just recently discover they last time i be down there , they be very nice ) www.kaffeeeis.co.nz	ADV ADV FIN;IND;PST;V 3;ACC;PL;PRO ADJ N;SG 1;NOM;PRO;SG 3;FIN;IND;PST;SG;V ADV ADV _ 3;NOM;PL;PRO FIN;IND;PRS;V ADV ADJ _ _
i recently converted this test to an online test in order to norm it to a larger population and , subsequently , to make it available to any one who has access to a computer and the internet .	i recently convert this test to a online test in order to norm it to a larger population and , subsequently , to make it available to any one who have access to a computer and the internet .	1;NOM;PRO;SG ADV FIN;IND;PST;V DET;SG N;SG ADP DET;INDF ADJ N;SG ADP N;SG PART NFIN;V 3;NEUT;NOM;PRO;SG ADP DET;INDF ADJ;CMPR N;SG CONJ _ ADV _ PART NFIN;V 3;NEUT;NOM;PRO;SG ADJ ADP _ N;SG PRO 3;FIN;IND;PRS;SG;V N;SG ADP DET;INDF N;SG CONJ DEF;DET N;SG _
amazing	amazing	ADJ
global reasons for conflict	global reason for conflict	ADJ N;PL ADP N;SG
you should really ask this in the art section .	you should really ask this in the art section .	2;NOM;PRO FIN;V ADV NFIN;V PRO;SG ADP DEF;DET N;SG N;SG _
great ! :p	great ! :p	ADJ _ _
jim	jim	PROPN;SG
carve one in your chosen medium .	carve one in you choose medium .	FIN;IMP;V NUM ADP 2;PRO PST;V;V.PTCP N;SG _
1542 leonardo , giovanni ( a.k.a. il puttino / the boy ) born in calaria .	1542 leonardo , giovanni ( a.k.a. il puttino / the boy ) bear in calaria .	NUM PROPN;SG _ PROPN;SG _ ADV PROPN;SG PROPN;SG _ DEF;DET PROPN;SG _ PST;V;V.PTCP ADP PROPN;SG _
mary	mary	PROPN;SG
he said that they have the training and the funding as well as the support of neighbouring and regional governments .	he say that they have the training and the funding as well as the support of neighbour and regional government .	3;MASC;NOM;PRO;SG FIN;IND;PST;V CONJ 3;NOM;PL;PRO FIN;IND;PRS;V DEF;DET N;SG CONJ DEF;DET N;SG ADV ADV ADP DEF;DET N;SG ADP V;V.MSDR CONJ ADJ N;PL _
rumor also had it some renegade biologist brought a caged pair to yellowstone and released them into the wild sometime in the 1970s , hoping to reestablish a breeding population .	rumor also have it some renegade biologist bring a cage pair to yellowstone and release they into the wild sometime in the 1970 , hope to reestablish a breed population .	N;SG ADV FIN;IND;PST;V 3;NEUT;NOM;PRO;SG DET ADJ N;SG FIN;IND;PST;V DET;INDF PST;V;V.PTCP N;SG ADP PROPN;SG CONJ FIN;IND;PST;V 3;ACC;PL;PRO ADP DEF;DET N;SG ADV ADP DEF;DET N;PL _ V;V.MSDR PART NFIN;V DET;INDF V;V.MSDR N;SG _
change there to the 13 line toward " chatillon montrouge " and take it until the " montparnasse bienvenue " station .	change there to the 13 line toward " chatillon montrouge " and take it until the " montparnasse bienvenue " station .	FIN;IMP;V ADV ADP DEF;DET NUM N;SG ADP _ PROPN;SG PROPN;SG _ CONJ FIN;IMP;V 3;ACC;NEUT;PRO;SG ADP DEF;DET _ PROPN;SG PROPN;SG _ N;SG _
i called her grandmother and explained things to her .	i call she grandmother and explain thing to she .	1;NOM;PRO;SG FIN;IND;PST;V 3;FEM;PRO;SG N;SG CONJ FIN;IND;PST;V N;PL ADP 3;ACC;FEM;PRO;SG _
cargill ferrous international is the full name of this division and set up as such in gcp with a sub - to - legal link to cargill , inc. per gcp procedure .	cargill ferrous international be the full name of this division and set up as such in gcp with a sub - to - legal link to cargill , inc. per gcp procedure .	PROPN;SG PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V DEF;DET ADJ N;SG ADP DET;SG N;SG CONJ PST;V;V.PTCP ADP ADP ADJ ADP N;SG ADP DET;INDF N;SG _ ADP _ ADJ N;SG ADP PROPN;SG _ PROPN;SG ADP N;SG N;SG _
0 - number of times bush mentioned global warming , clean air , clean water , pollution or environment in his 2004 state of the union speech .	0 - number of time bush mention global warming , clean air , clean water , pollution or environment in he 2004 state of the union speech .	NUM _ N;SG ADP N;PL PROPN;SG FIN;IND;PST;V ADJ N;SG _ ADJ N;SG _ ADJ N;SG _ N;SG CONJ N;SG ADP 3;MASC;PRO;SG NUM N;SG ADP DEF;DET N;SG N;SG _
-- john b , windermere , florida	-- john b , windermere , florida	_ PROPN;SG PROPN;SG _ PROPN;SG _ PROPN;SG
as a result of that , she has managed on several occasions over the years to detract from my enjoyment of playing trivial pursuit or watching jeopardy by absolutely obliterating me ( the girl actually did her senior thesis on trivia ) .	as a result of that , she have manage on several occasion over the year to detract from my enjoyment of play trivial pursuit or watch jeopardy by absolutely obliterate i ( the girl actually do she senior thesis on trivia ) .	ADP DET;INDF N;SG ADP PRO;SG _ 3;FEM;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP ADJ N;PL ADP DEF;DET N;PL PART NFIN;V ADP 1;PRO;SG N;SG CONJ V;V.MSDR PROPN;SG PROPN;SG CONJ V;V.MSDR PROPN;SG CONJ ADV V;V.MSDR 1;ACC;PRO;SG _ DEF;DET N;SG ADV FIN;IND;PST;V 3;FEM;PRO;SG ADJ N;SG ADP N;SG _ _
musharraf has been trying to purge his officer corps of the substantial number of al - qaeda sympathizers .	musharraf have be try to purge he officer corps of the substantial number of al - qaeda sympathizer .	PROPN;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PRS;V;V.PTCP PART NFIN;V 3;MASC;PRO;SG N;SG N;SG ADP DEF;DET ADJ N;SG ADP PROPN;SG _ PROPN;SG N;PL _
ps your brother told me he went to 3 bowl games ( when i found out that two of them were the galleryfurniture.com bowl and that one in shreveport ( i ca n't remember the name of it )) i realized he is a very , very sick college football fan .	ps you brother tell i he go to 3 bowl game ( when i find out that two of they be the galleryfurniture.com bowl and that one in shreveport ( i can not remember the name of it )) i realize he be a very , very sick college football fan .	N;SG 2;PRO N;SG FIN;IND;PST;V 1;ACC;PRO;SG 3;MASC;NOM;PRO;SG FIN;IND;PST;V ADP NUM N;SG N;PL _ ADV 1;NOM;PRO;SG FIN;IND;PST;V ADP CONJ NUM ADP 3;ACC;PL;PRO FIN;IND;PST;V DEF;DET _ N;SG CONJ DET;SG N;SG ADP PROPN;SG _ 1;NOM;PRO;SG FIN;V PART NFIN;V DEF;DET N;SG ADP 3;ACC;NEUT;PRO;SG _ 1;NOM;PRO;SG FIN;IND;PST;V 3;MASC;NOM;PRO;SG 3;FIN;IND;PRS;SG;V DET;INDF ADV _ ADV ADJ N;SG N;SG N;SG _
they may not be familiar , but they will be fascinating .	they may not be familiar , but they will be fascinating .	3;NOM;PL;PRO FIN;V PART NFIN;V ADJ _ CONJ 3;NOM;PL;PRO FIN;V NFIN;V ADJ _
i used to have one .	i use to have one .	1;NOM;PRO;SG FIN;IND;PST;V PART NFIN;V NUM _
beer a bit expensive .	beer a bit expensive .	N;SG DET;INDF N;SG ADJ _
04/04/2001 09:27 am	04/04/2001 09:27 am	NUM NUM N;SG
current plan :	current plan :	ADJ N;SG _
10 . jack welch , ceo , general motors	10 . jack welch , ceo , general motors	_ _ PROPN;SG PROPN;SG _ N;SG _ PROPN;SG PL;PROPN
the rate schedule on tennessee should be either net - 2 or net - 284 .	the rate schedule on tennessee should be either net - 2 or net - 284 .	DEF;DET N;SG N;SG ADP PROPN;SG FIN;V NFIN;V CONJ N;SG _ NUM CONJ N;SG _ NUM _
not 200,000 guns - the numbers do nt work :	not 200,000 gun - the number do not work :	PART NUM N;PL _ DEF;DET N;PL FIN;IND;PRS;V PART NFIN;V _
the conference call has been rescheduled for friday , sept. 17 at 9 am ( houston ) which is 11 am ( sao paulo ) .	the conference call have be reschedule for friday , sept. 17 at 9 am ( houston ) which be 11 am ( sao paulo ) .	DEF;DET N;SG N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PASS;PST;V;V.PTCP ADP PROPN;SG _ PROPN;SG NUM ADP NUM N;SG _ PROPN;SG _ PRO 3;FIN;IND;PRS;SG;V NUM N;SG _ PROPN;SG PROPN;SG _ _
i lived there for 8 months .	i live there for 8 month .	1;NOM;PRO;SG FIN;IND;PST;V ADV ADP NUM N;PL _
vietnamese girl 's name , mayko ?	vietnamese girl 's name , mayko ?	ADJ N;SG PART N;SG _ PROPN;SG _
the call was cancelled .	the call be cancel .	DEF;DET N;SG 3;FIN;IND;PST;SG;V PASS;PST;V;V.PTCP _
and they usually come out within a few days .	and they usually come out within a few day .	CONJ 3;NOM;PL;PRO ADV FIN;IND;PRS;V ADV ADP DET;INDF ADJ N;PL _
i assume this is 12:30 central time ?	i assume this be 12:30 central time ?	1;NOM;PRO;SG FIN;IND;PRS;V PRO;SG 3;FIN;IND;PRS;SG;V NUM PROPN;SG PROPN;SG _
khymberly booth	khymberly booth	PROPN;SG PROPN;SG
you see , some snakes for no obvious reason will simply go off their food .	you see , some snake for no obvious reason will simply go off they food .	2;NOM;PRO FIN;IND;PRS;V _ DET N;PL ADP DET ADJ N;SG FIN;V ADV NFIN;V ADP 3;PL;PRO N;SG _
i guess you get what you pay for .	i guess you get what you pay for .	1;NOM;PRO;SG FIN;IND;PRS;V 2;NOM;PRO FIN;IND;PRS;V PRO 2;NOM;PRO FIN;IND;PRS;V ADP _
groups : misc.consumers	group : misc.consumers	N;PL _ N;PL
none of us will be using their services again , which is a shame .	none of we will be use they service again , which be a shame .	N;SG ADP 1;ACC;PL;PRO FIN;V NFIN;V PRS;V;V.PTCP 3;PL;PRO N;PL ADV _ PRO 3;FIN;IND;PRS;SG;V DET;INDF N;SG _
tds meters ( the thrifty aquarist 's hardness meter can be used if one has seen one of your municipal water department 's annual reports .	tds meter ( the thrifty aquarist 's hardness meter can be use if one have see one of you municipal water department 's annual report .	N;SG N;PL _ DEF;DET ADJ N;SG PART N;SG N;SG FIN;V NFIN;V PASS;PST;V;V.PTCP CONJ PRO 3;FIN;IND;PRS;SG;V PST;V;V.PTCP NUM ADP 2;PRO ADJ N;SG N;SG PART ADJ N;PL _
russia also announced that it was seeking and building the best nukes the world ’s ever seen .	russia also announce that it be seek and build the best nuke the world have ever see .	PROPN;SG ADV FIN;IND;PST;V CONJ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PST;SG;V PRS;V;V.PTCP CONJ PRS;V;V.PTCP DEF;DET ADJ;RL N;PL DEF;DET N;SG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP _
at the barton hearing , a liberal democrat ( filner ) and a conservative republican ( hunter ) locked arms in calling for refunds .	at the barton hearing , a liberal democrat ( filner ) and a conservative republican ( hunter ) lock arm in call for refund .	ADP DEF;DET PROPN;SG N;SG _ DET;INDF ADJ PROPN;SG _ PROPN;SG _ CONJ DET;INDF ADJ PROPN;SG _ PROPN;SG _ FIN;IND;PST;V N;PL CONJ V;V.MSDR ADP N;PL _
i have not had good experience with travel agents .	i have not have good experience with travel agent .	1;NOM;PRO;SG FIN;IND;PRS;V PART PST;V;V.PTCP ADJ N;SG ADP N;SG N;PL _
" we believe this is an ill - advised term and we believe that it is counterproductive to associate islam or muslims with fascism , " said nihad awad , executive director of the council on american - islamic relations advocacy group .	" we believe this be a ill - advise term and we believe that it be counterproductive to associate islam or muslims with fascism , " say nihad awad , executive director of the council on american - islamic relations advocacy group .	_ 1;NOM;PL;PRO FIN;IND;PRS;V PRO;SG 3;FIN;IND;PRS;SG;V DET;INDF ADV _ PST;V;V.PTCP N;SG CONJ 1;NOM;PL;PRO FIN;IND;PRS;V CONJ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ PART NFIN;V PROPN;SG CONJ PL;PROPN ADP N;SG _ _ FIN;IND;PST;V PROPN;SG PROPN;SG _ ADJ N;SG ADP DEF;DET PROPN;SG ADP PROPN;SG _ PROPN;SG PL;PROPN N;SG N;SG _
joe_lardy@cargill.com on 03/02/2001 10:39:03 am	joe_lardy@cargill.com on 03/02/2001 10:39:03 am	_ ADP NUM NUM N;SG
call me to discuss .	call i to discuss .	FIN;IMP;V 1;ACC;PRO;SG PART NFIN;V _
you will need to get his box and bowls , and whatever blanket and toys are his , and smell like home , and put him in a room .	you will need to get he box and bowl , and whatever blanket and toy be he , and smell like home , and put he in a room .	2;NOM;PRO FIN;V NFIN;V PART NFIN;V 3;MASC;PRO;SG N;SG CONJ N;PL _ CONJ DET N;SG CONJ N;PL FIN;IND;PRS;V 3;MASC;PRO;SG _ CONJ FIN;IND;PRS;V ADP N;SG _ CONJ FIN;IND;PST;V 3;ACC;MASC;PRO;SG ADP DET;INDF N;SG _
i guess i 'm extremely fortunate that i received a scholarship which paid about 800 f my course fees through my degree .	i guess i be extremely fortunate that i receive a scholarship which pay about 800 of my course fee through my degree .	1;NOM;PRO;SG FIN;IND;PRS;V 1;NOM;PRO;SG FIN;IND;PRS;V ADV ADJ CONJ 1;NOM;PRO;SG FIN;IND;PST;V DET;INDF N;SG PRO FIN;IND;PST;V ADV NUM ADP 1;PRO;SG N;SG N;PL ADP 1;PRO;SG N;SG _
this weekend i 'm off to sao paulo and buenos aires on business .	this weekend i be off to sao paulo and buenos aires on business .	DET;SG N;SG 1;NOM;PRO;SG FIN;IND;PRS;V ADP ADP PROPN;SG PROPN;SG CONJ PROPN;SG PROPN;SG ADP N;SG _
thanks for your efforts here , and thanks for being patient with me .	thanks for you effort here , and thanks for be patient with i .	N;SG ADP 2;PRO N;PL ADV _ CONJ N;SG CONJ V;V.MSDR ADJ ADP 1;ACC;PRO;SG _
i have tracked all changes for ease of reference .	i have track all change for ease of reference .	1;NOM;PRO;SG FIN;IND;PRS;V PST;V;V.PTCP DET N;PL ADP N;SG ADP N;SG _
====================================================	====================================================	_
a correction .	a correction .	DET;INDF N;SG _
so i want to hire someone ( or multiple people ) to transport me to these shows .	so i want to hire someone ( or multiple people ) to transport i to these show .	ADV 1;NOM;PRO;SG FIN;IND;PRS;V PART NFIN;V PRO;SG _ CONJ ADJ N;PL _ PART NFIN;V 1;ACC;PRO;SG ADP DET;PL N;PL _
worst buffet period by far .	worst buffet period by far .	ADJ;RL N;SG N;SG ADP ADV _
http://www.droidforums.net/forum/droid-news/181335-ereader-tablet-comparison-b-n-nook-tablet-b-n-nook-color-kindle-fire-htc-flyer.html	http://www.droidforums.net/forum/droid-news/181335-ereader-tablet-comparison-b-n-nook-tablet-b-n-nook-color-kindle-fire-htc-flyer.html	_
again , decades of this sort of behavior do not leave a person untouched .	again , decade of this sort of behavior do not leave a person untouched .	ADV _ N;PL ADP DET;SG N;SG ADP N;SG FIN;IND;PRS;V PART NFIN;V DET;INDF N;SG ADJ _
mark anderson says that even though bondad gas flowed , the price was non-bondad .	mark anderson say that even though bondad gas flow , the price be non-bondad .	PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V CONJ ADV CONJ N;SG N;SG FIN;IND;PST;V _ DEF;DET N;SG 3;FIN;IND;PST;SG;V N;SG _
but while the ( otherwise perishable ) thoughts are still fresh in my mind from the hearings on monday and tuesday , i wanted to throw out some observations for discussion in the days / weeks ahead .	but while the ( otherwise perishable ) thought be still fresh in my mind from the hearing on monday and tuesday , i want to throw out some observation for discussion in the day / week ahead .	CONJ CONJ DEF;DET _ ADV ADJ _ N;PL FIN;IND;PRS;V ADV ADJ ADP 1;PRO;SG N;SG ADP DEF;DET N;PL ADP PROPN;SG CONJ PROPN;SG _ 1;NOM;PRO;SG FIN;IND;PST;V PART NFIN;V ADV DET N;PL ADP N;SG ADP DEF;DET N;PL _ N;PL ADV _
why is it stil doing this even though i do n't have the other phone connected ?	why be it stil do this even though i do not have the other phone connect ?	ADV 3;FIN;IND;PRS;SG;V 3;NEUT;NOM;PRO;SG ADV V;V.MSDR PRO;SG ADV CONJ 1;NOM;PRO;SG FIN;IND;PRS;V PART NFIN;V DEF;DET ADJ N;SG PST;V;V.PTCP _
it made me feel good to see people work so hard to take care of others belongings .	it make i feel good to see people work so hard to take care of other belongings .	3;NEUT;NOM;PRO;SG FIN;IND;PST;V 1;ACC;PRO;SG FIN;IND;PRS;V ADJ PART NFIN;V N;PL FIN;IND;PRS;V ADV ADV PART NFIN;V N;SG ADP N;PL N;PL _
" their screams changed , " dr. fortier said .	" they scream change , " dr. fortier say .	_ 3;PL;PRO N;PL FIN;IND;PST;V _ _ PROPN;SG PROPN;SG FIN;IND;PST;V _
because all of the food blogs i ve read say so and i will travel from maryland if that s true	because all of the food blog i have read say so and i will travel from maryland if that be true	CONJ DET ADP DEF;DET N;SG N;PL 1;NOM;PRO;SG FIN;IND;PRS;V PST;V;V.PTCP FIN;IND;PRS;V ADV CONJ 1;NOM;PRO;SG FIN;V NFIN;V ADP PROPN;SG CONJ PRO;SG 3;FIN;IND;PRS;SG;V ADJ
i 'm getting a dwarf hamster tomorrow and i was just talking to my mom and she said that we have to take out the wheel at night because it would disturb her sleep but i told her no because i said thei r energetic at night at my room is right next door to hers but i heard their are wheels that do nt make noise at all what would be the price of it ?	i be get a dwarf hamster tomorrow and i be just talk to my mom and she say that we have to take out the wheel at night because it would disturb she sleep but i tell she no because i say thei be energetic at night and my room be right next door to hers but i hear their be wheel that do not make noise at all what would be the price of it ?	1;NOM;PRO;SG FIN;IND;PRS;V V;V.MSDR DET;INDF ADJ N;SG N;SG CONJ 1;NOM;PRO;SG 3;FIN;IND;PST;SG;V ADV V;V.MSDR ADP 1;PRO;SG PROPN;SG CONJ 3;FEM;NOM;PRO;SG FIN;IND;PST;V CONJ 1;NOM;PL;PRO FIN;IND;PRS;V PART NFIN;V ADP DEF;DET N;SG ADP N;SG CONJ 3;NEUT;NOM;PRO;SG FIN;V NFIN;V 3;FEM;PRO;SG N;SG CONJ 1;NOM;PRO;SG FIN;IND;PST;V 3;FEM;PRO;SG INTJ CONJ 1;NOM;PRO;SG FIN;IND;PST;V PRO FIN;IND;PRS;V ADJ ADP N;SG CONJ 1;PRO;SG N;SG 3;FIN;IND;PRS;SG;V ADV ADJ N;SG ADP PRO CONJ 1;NOM;PRO;SG FIN;IND;PST;V PRO FIN;IND;PRS;V N;PL PRO FIN;IND;PRS;V PART NFIN;V N;SG ADV ADV PRO FIN;V NFIN;V DEF;DET N;SG ADP 3;ACC;NEUT;PRO;SG _
i found the office to be very clean and professional - looking .	i find the office to be very clean and professional - look .	1;NOM;PRO;SG FIN;IND;PST;V DEF;DET N;SG PART NFIN;V ADV ADJ CONJ ADJ _ V;V.MSDR _
thanx ,	thanx ,	N;SG _
our company is a high end designer handbag and fashion accessories company , thus we are certainly a niche market .	we company be a high end designer handbag and fashion accessory company , thus we be certainly a niche market .	1;PL;PRO N;SG 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG N;SG N;SG CONJ N;SG N;PL N;SG _ ADV 1;NOM;PL;PRO FIN;IND;PRS;V ADV DET;INDF N;SG N;SG _
wonderful	wonderful	ADJ
stay with me now : john paul stevens delivered the opinion of the court with respect to parts i through iv , vi through vi - d - iii , vi - d - v , and vii , in which kennedy , souter , ginsburg , and breyer joined , and an opinion with respect to parts v and vi - d - iv , in which souter , ginsburg , and breyer joined .	stay with i now : john paul stevens deliver the opinion of the court with respect to part i through iv , vi through vi - d - iii , vi - d - v , and vii , in which kennedy , souter , ginsburg , and breyer join , and a opinion with respect to part v and vi - d - iv , in which souter , ginsburg , and breyer join .	FIN;IMP;V ADP 1;ACC;PRO;SG ADV _ PROPN;SG PROPN;SG PROPN;SG FIN;IND;PST;V DEF;DET N;SG ADP DEF;DET N;SG ADP N;SG ADP N;PL NUM ADP NUM _ NUM ADP NUM _ N;SG _ NUM _ NUM _ N;SG _ NUM _ CONJ NUM _ ADP PRO PROPN;SG _ PROPN;SG _ PROPN;SG _ CONJ PROPN;SG FIN;IND;PST;V _ CONJ DET;INDF N;SG ADP N;SG ADP N;PL NUM CONJ NUM _ N;SG _ NUM _ ADP PRO PROPN;SG _ PROPN;SG _ CONJ PROPN;SG FIN;IND;PST;V _
yeah , i think jeff wrote on one of his posts here in the past several months : " to hell with death " .	yeah , i think jeff write on one of he post here in the past several month : " to hell with death " .	INTJ _ 1;NOM;PRO;SG FIN;IND;PRS;V PROPN;SG FIN;IND;PST;V ADP NUM ADP 3;MASC;PRO;SG N;PL ADV ADP DEF;DET ADJ ADJ N;PL _ _ ADP N;SG ADP N;SG _ _
i 'll need to ponder .	i will need to ponder .	1;NOM;PRO;SG FIN;V NFIN;V PART NFIN;V _
i then called the 800 number ( which was answered ) and inquired about last minute rates .	i then call the 800 number ( which be answer ) and inquire about last minute rate .	1;NOM;PRO;SG ADV FIN;IND;PST;V DEF;DET NUM N;SG _ PRO 3;FIN;IND;PST;SG;V PASS;PST;V;V.PTCP _ CONJ FIN;IND;PST;V ADP ADJ N;SG N;PL _
please call if you want to discuss .	please call if you want to discuss .	INTJ FIN;IMP;V CONJ 2;NOM;PRO FIN;IND;PRS;V PART NFIN;V _
even if you can figure out what is wrong with this poor poneh , there is always the chance for remission and then relapse so you may have to do deal with again in the future .	even if you can figure out what be wrong with this poor poneh , there be always the chance for remission and then relapse so you may have to do deal with again in the future .	ADV CONJ 2;NOM;PRO FIN;V NFIN;V ADP PRO 3;FIN;IND;PRS;SG;V ADJ ADP DET;SG ADJ N;SG _ PRO 3;FIN;IND;PRS;SG;V ADV DEF;DET N;SG ADP N;SG CONJ ADV N;SG ADV 2;NOM;PRO FIN;V NFIN;V PART NFIN;V NFIN;V ADV ADV ADP DEF;DET N;SG _
chris	chris	PROPN;SG
like the girl with the fuse problem ...	like the girl with the fuse problem ...	ADP DEF;DET N;SG ADP DEF;DET N;SG N;SG _
