шлункова фаза соковиділення забезпечується не лише за рахунок нервової системи .	шлунковий фаза соковиділення забезпечуватися не лише за рахунок нервовий система .	ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG GEN;INAN;N;NEUT;SG 3;FIN;IND;IPFV;PRS;SG;V NEG;PART PART ACC;ADP ACC;INAN;MASC;N;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _
ось що значить виробництво інтелектуального продукту .	ось що значити виробництво інтелектуальний продукт .	PART ACC;INAN;NEUT;PRO;SG 3;FIN;IND;IPFV;PRS;SG;V INAN;N;NEUT;NOM;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _
крій чумарки нагадував крій жіночої кирсетки ( юпки ) з рукавами .	крій чумарка нагадувати крій жіночий кирсетка ( юпка ) з рукав .	INAN;MASC;N;NOM;SG FEM;GEN;INAN;N;SG FIN;IND;IPFV;MASC;PST;SG;V ACC;INAN;MASC;N;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _ FEM;GEN;INAN;N;SG _ ADP;INS INAN;INS;MASC;N;PL _
у такому разі годиться і плескати , і скубти .	у такий раз годитися і плескати , і скубти .	ADP;ESS DET;ESS;MASC;SG ESS;INAN;MASC;N;SG 3;FIN;IND;IPFV;PRS;SG;V CONJ IPFV;NFIN;V _ CONJ IPFV;NFIN;V _
з висоти пташиного лету хоружівка нагадує великий хрест : кілька менших і більших яруг перетинаються тут майже під прямим кутом , створюючи характерну фігуру .	з висота пташиний літ хоружівка нагадувати великий хрест : кілька менший і більший яруга перетинатися тут майже під прямий кут , створювати характерний фігура .	ADP;GEN FEM;GEN;INAN;N;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG FEM;INAN;NOM;PROPN;SG 3;FIN;IND;IPFV;PRS;SG;V ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG _ DET;NOM ADJ;CMPR;GEN;PL CONJ ADJ;CMPR;GEN;PL FEM;GEN;INAN;N;PL 3;FIN;IND;IPFV;PL;PRS;V ADV ADV ADP;INS ADJ;INS;MASC;SG INAN;INS;MASC;N;SG _ IPFV;PRS;V;V.CVB ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG _
дзядзьо михась так добре робив печі і пивниці , що після арешту ще цілий рік не міг піти по етапу .	дзядзьо михась так добре робити піч і пивниця , що після арешт ще цілий рік не могти піти по етап .	ANIM;MASC;N;NOM;SG ANIM;MASC;NOM;PROPN;SG ADV ADV FIN;IND;IPFV;MASC;PST;SG;V ACC;FEM;INAN;N;PL CONJ ACC;FEM;INAN;N;PL _ CONJ ADP;GEN GEN;INAN;MASC;N;SG ADV ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG NEG;PART FIN;IND;IPFV;MASC;PST;SG;V NFIN;PFV;V ADP;ESS ESS;INAN;MASC;N;SG _
а наш дах у делятині попросту протікав .	а наш дах у делятин попросту протікати .	CONJ 1;DET;MASC;NOM;SG INAN;MASC;N;NOM;SG ADP;ESS ESS;INAN;MASC;PROPN;SG ADV FIN;IND;IPFV;MASC;PST;SG;V _
з’ясувалося , що крадіжками займалися 14-річні учні однієї з місцевих шкіл .	з’ясуватися , що крадіжка займатися 14-річний учень один з місцевий школа .	FIN;IND;NEUT;PFV;PST;SG;V _ CONJ FEM;INAN;INS;N;PL FIN;IND;IPFV;PL;PST;V ADJ;NOM;PL ANIM;MASC;N;NOM;PL DET;FEM;GEN;SG ADP;GEN ADJ;GEN;PL FEM;GEN;INAN;N;PL _
тільки десята частина з них застосовується як вторинні матеріальні ресурси , а решта потрапляє у сховища , шламонакопичувачі , терикони .	тільки десятий частина з вони застосовуватися як вторинний матеріальний ресурс , а решта потрапляти у сховище , шламонакопичувач , терикон .	PART ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG ADP;GEN 3;GEN;PL;PRO 3;FIN;IND;IPFV;PRS;SG;V CONJ ADJ;NOM;PL ADJ;NOM;PL INAN;MASC;N;NOM;PL _ CONJ FEM;INAN;N;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V ACC;ADP ACC;INAN;N;NEUT;PL _ ACC;INAN;MASC;N;PL _ ACC;INAN;MASC;N;PL _
спробуємо пояснити його з точки зору молекулярно - кінетичного вчення про будову речовини .	спробувати пояснити воно з точка зір молекулярний - кінетичний вчення про будова речовина .	1;FIN;FUT;IND;PFV;PL;V NFIN;PFV;V 3;GEN;NEUT;PRO;SG ADP;GEN FEM;GEN;INAN;N;SG GEN;INAN;MASC;N;SG ADJ _ ADJ;GEN;NEUT;SG GEN;INAN;N;NEUT;SG ACC;ADP ACC;FEM;INAN;N;SG FEM;GEN;INAN;N;SG _
під час другої світової війни японці знову звернуться до націоналістів із пропозицією співпраці .	під час другий світовий війна японець знову звернутися до націоналіст із пропозиція співпраця .	ACC;ADP ACC;INAN;MASC;N;SG ADJ;FEM;GEN;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG ANIM;MASC;N;NOM;PL ADV 3;FIN;FUT;IND;PFV;PL;V ADP;GEN ANIM;GEN;MASC;N;PL ADP;INS FEM;INAN;INS;N;SG FEM;GEN;INAN;N;SG _
все ж таки саме в дослідженні техніки скрупулятна метода дослідника лишила триваліший слід , ніж у його підсумкових статтях .	все ж таки саме в дослідження техніка скрупулятний метода дослідник лишити триваліший слід , ніж у його підсумковий стаття .	PART PART PART PART ADP;ESS ESS;INAN;N;NEUT;SG FEM;GEN;INAN;N;SG ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG ANIM;GEN;MASC;N;SG FEM;FIN;IND;PFV;PST;SG;V ACC;ADJ;CMPR;INAN;MASC;SG ACC;INAN;MASC;N;SG _ CONJ ADP;ESS 3;DET;ESS;PL ADJ;ESS;PL ESS;FEM;INAN;N;PL _
у читі наймоднішим набором вважалися тяжкі черевики , наручний годинник і велосипед .	у чита наймодніший набір вважатися тяжкий черевик , наручний годинник і велосипед .	ADP;ESS ESS;FEM;INAN;PROPN;SG ADJ;INS;MASC;RL;SG INAN;INS;MASC;N;SG FIN;IND;IPFV;PL;PST;V ADJ;NOM;PL INAN;MASC;N;NOM;PL _ ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG CONJ INAN;MASC;N;NOM;SG _
ефективність антидоту різко знижується після цього часу .	ефективність антидот різко знижуватися після цей час .	FEM;INAN;N;NOM;SG GEN;INAN;MASC;N;SG ADV 3;FIN;IND;IPFV;PRS;SG;V ADP;GEN DET;GEN;MASC;SG GEN;INAN;MASC;N;SG _
а взагалі за всю історію рейтинґу його лавреатами ставали 118 видавництв .	а взагалі за весь історія рейтинґ його лавреат ставати 118 видавництво .	CONJ ADV ACC;ADP ACC;DET;FEM;SG ACC;FEM;INAN;N;SG GEN;INAN;MASC;N;SG 3;DET;INS;PL ANIM;INS;MASC;N;PL FIN;IND;IPFV;PL;PST;V NOM;NUM GEN;INAN;N;NEUT;PL _
:)	:)	_
поруч з нашою школою було ще п’ять інших , найпростішою ознакою протистояння були українські проти російських .	поруч з наш школа бути ще п’ять інший , найпростіший ознака протистояння бути український проти російський .	ADV ADP;INS 1;DET;FEM;INS;SG FEM;INAN;INS;N;SG FIN;IND;IPFV;NEUT;PST;SG;V ADV NOM;NUM DET;GEN;PL _ ADJ;FEM;INS;RL;SG FEM;INAN;INS;N;SG GEN;INAN;N;NEUT;SG FIN;IND;IPFV;PL;PST;V ANIM;MASC;N;NOM;PL ADP;GEN ANIM;GEN;MASC;N;PL _
народилася 23 березня 1974 р . в києві в театральній родині .	народитися 23 березень 1974 р. . в київ в театральний родина .	FEM;FIN;IND;PFV;PST;SG;V ADJ;GEN;NEUT;SG GEN;INAN;MASC;N;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _ ADP;ESS ESS;INAN;MASC;PROPN;SG ADP;ESS ADJ;ESS;FEM;SG ESS;FEM;INAN;N;SG _
отже , коротко кажучи , у цій книзі фонологічний розвиток української мови простежується від vii ст . і до нашого часу ; при тому назва " українська мова " застосовується у зворотній проєкції на ввесь цей період , але питання про час , відколи вживання цієї назви є вповні обгрунтованим , залишається без відповіді .	отже , коротко казати , у цей книга фонологічний розвиток український мова простежуватися від vii ст. . і до наш час ; при те назва " український мова " застосовуватися у зворотний проєкція на ввесь цей період , але питання про час , відколи вживання цей назва бути вповні обгрунтований , залишатися без відповідь .	PART _ ADV IPFV;PRS;V;V.CVB _ ADP;ESS DET;ESS;FEM;SG ESS;FEM;INAN;N;SG ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG 3;FIN;IND;IPFV;PRS;SG;V ADP;GEN ADJ;GEN;NEUT;SG GEN;INAN;N;NEUT;SG _ CONJ ADP;GEN 1;DET;GEN;MASC;SG GEN;INAN;MASC;N;SG _ ADP;ESS ESS;INAN;NEUT;PRO;SG FEM;INAN;N;NOM;SG _ ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG _ 3;FIN;IND;IPFV;PRS;SG;V ADP;ESS ADJ;ESS;FEM;SG ESS;FEM;INAN;N;SG ACC;ADP ACC;DET;INAN;MASC;SG ACC;DET;INAN;MASC;SG ACC;INAN;MASC;N;SG _ CONJ INAN;N;NEUT;NOM;SG ACC;ADP ACC;INAN;MASC;N;SG _ ADV INAN;N;NEUT;NOM;SG DET;FEM;GEN;SG FEM;GEN;INAN;N;SG 3;FIN;IND;IPFV;PRS;SG;V ADV ADJ;INS;NEUT;PASS;PFV;SG;V.PTCP _ 3;FIN;IND;IPFV;PRS;SG;V ADP;GEN FEM;GEN;INAN;N;SG _
навіть того омонівця , в якого ми з приятелем відібрали ґумову палицю .	навіть той омонівець , в який ми з приятель відібрати ґумовий палиця .	PART ACC;ANIM;DET;MASC;SG ACC;ANIM;MASC;N;SG _ ADP;GEN DET;GEN;MASC;SG 1;ANIM;NOM;PL;PRO ADP;INS ANIM;INS;MASC;N;SG FIN;IND;PFV;PL;PST;V ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG _
при цьому охоче відрізає покупцям по шматочку персика — покуштувати .	при це охоче відрізати покупець по шматочок персик — покуштувати .	ADP;ESS ESS;INAN;NEUT;PRO;SG ADV 3;FIN;IND;IPFV;PRS;SG;V ANIM;DAT;MASC;N;PL ADP;ESS ESS;INAN;MASC;N;SG GEN;INAN;MASC;N;SG _ NFIN;PFV;V _
щоранку я пив воду з одного , лице мив у другому , зуби чистив у третьому .	щоранку я пити вода з один , лице мити у другий , зуб чистити у третій .	ADV 1;ANIM;NOM;PRO;SG FIN;IND;IPFV;MASC;PST;SG;V ACC;FEM;INAN;N;SG ADP;GEN DET;GEN;NEUT;SG _ ACC;INAN;N;NEUT;SG FIN;IND;IPFV;MASC;PST;SG;V ADP;ESS DET;ESS;NEUT;SG _ ACC;INAN;MASC;N;PL FIN;IND;IPFV;MASC;PST;SG;V ADP;ESS ADJ;ESS;NEUT;SG _
так , чуєш , не можна .	так , чути , не можна .	ADV _ 2;FIN;IND;IPFV;PRS;SG;V _ NEG;PART ADV _
він , світ , справді опинився поза звичною дихотомією « правда – брехня » , а тому давній солженіцинський заклик « жить не по лжи » сьогодні втрачає свій сенс .	він , світ , справді опинитися поза звичний дихотомія « правда – брехня » , а тому давній солженіцинський заклик « жить не по лжи » сьогодні втрачати свій сенс .	3;MASC;NOM;PRO;SG _ INAN;MASC;N;NOM;SG _ ADV FIN;IND;MASC;PFV;PST;SG;V ADP;INS ADJ;FEM;INS;SG FEM;INAN;INS;N;SG _ FEM;INAN;N;NOM;SG _ FEM;INAN;N;NOM;SG _ _ CONJ ADV ADJ;MASC;NOM;SG ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG _ _ _ _ _ _ ADV 3;FIN;IND;IPFV;PRS;SG;V ACC;DET;INAN;MASC;REFL;SG ACC;INAN;MASC;N;SG _
їх частують коктейлем .	вони частувати коктейль .	3;ACC;PL;PRO 3;FIN;IND;IPFV;PL;PRS;V INAN;INS;MASC;N;SG _
побачила в стрічці .	побачити в стрічка .	FEM;FIN;IND;PFV;PST;SG;V ADP;ESS ESS;FEM;INAN;N;SG _
тихо .	тихо .	ADV _
ми ходили кімнатами у пошуку пательні , порожньої пательні .	ми ходити кімната у пошук пательня , порожній пательня .	1;ANIM;NOM;PL;PRO FIN;IND;IPFV;PL;PST;V FEM;INAN;INS;N;PL ADP;ESS ESS;INAN;MASC;N;SG FEM;GEN;INAN;N;SG _ ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _
натомість не можна було відмовлятися від двістіп’ятдесятиграмової пляшечки пастеризованого молока після другого уроку .	натомість не можна бути відмовлятися від двістіп’ятдесятиграмовий пляшечка пастеризований молоко після другий урок .	CONJ NEG;PART ADV FIN;IND;IPFV;NEUT;PST;SG;V IPFV;NFIN;V ADP;GEN ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG ADJ;GEN;IPFV;NEUT;PASS;SG;V.PTCP GEN;INAN;N;NEUT;SG ADP;GEN ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _
для дошкільнят .	для дошкільня .	ADP;GEN ANIM;GEN;N;NEUT;PL _
присвоїти військове звання генерал - лейтенанта : генерал - майору грищенку андрію миколайовичу – командувачу військ оперативного командування « південь » сухопутних військ збройних сил україни ; генерал - майору шамку в'ячеславу євгеновичу – начальнику штабу – першому заступнику командувача повітряних сил збройних сил україни .	присвоїти військовий звання генерал - лейтенант : генерал - майор грищенко андрій миколайович – командувач військо оперативний командування « південь » сухопутний військо збройний сила україна ; генерал - майор шамко в’ячеслав євгенович – начальник штаб – перший заступник командувач повітряний сила збройний сила україна .	NFIN;PFV;V ACC;ADJ;NEUT;SG ACC;INAN;N;NEUT;SG ANIM;MASC;N;NOM;SG _ ANIM;GEN;MASC;N;SG _ ANIM;MASC;N;NOM;SG _ ANIM;DAT;MASC;N;SG ANIM;DAT;MASC;PROPN;SG ANIM;DAT;MASC;PROPN;SG ANIM;DAT;MASC;PROPN;SG _ ANIM;DAT;MASC;N;SG GEN;INAN;N;NEUT;PL ADJ;GEN;NEUT;SG GEN;INAN;N;NEUT;SG _ INAN;MASC;N;NOM;SG _ ADJ;GEN;PL GEN;INAN;N;NEUT;PL ADJ;GEN;PL FEM;GEN;INAN;N;PL FEM;GEN;INAN;PROPN;SG _ ANIM;MASC;N;NOM;SG _ ANIM;DAT;MASC;N;SG ANIM;DAT;MASC;PROPN;SG ANIM;DAT;MASC;PROPN;SG ANIM;DAT;MASC;PROPN;SG _ ANIM;DAT;MASC;N;SG GEN;INAN;MASC;N;SG _ ADJ;DAT;MASC;SG ANIM;DAT;MASC;N;SG ANIM;GEN;MASC;N;SG ADJ;GEN;PL FEM;GEN;INAN;N;PL ADJ;GEN;PL FEM;GEN;INAN;N;PL FEM;GEN;INAN;PROPN;SG _
точніше , він сприймає правду як підступну провокацію , спрямовану на те , щоб затуманити його .	точніше , він сприймати правда як підступний провокація , спрямований на те , щоб затуманити він .	ADV;CMPR _ 3;MASC;NOM;PRO;SG 3;FIN;IND;IPFV;PRS;SG;V ACC;FEM;INAN;N;SG CONJ ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG _ ACC;ADJ;FEM;PASS;PFV;SG;V.PTCP ACC;ADP ACC;INAN;NEUT;PRO;SG _ CONJ NFIN;PFV;V 3;ACC;MASC;PRO;SG _
та дівка його питається :	та дівка він питатися :	CONJ ANIM;FEM;N;NOM;SG 3;GEN;MASC;PRO;SG 3;FIN;IND;IPFV;PRS;SG;V _
— ма-у !..	— ма-у !..	_ INTJ _
1 .	1 .	MASC;NOM;NUM _
а що ми бачимо насправді ?	а що ми бачити насправді ?	CONJ ACC;INAN;NEUT;PRO;SG 1;ANIM;NOM;PL;PRO 1;FIN;IND;IPFV;PL;PRS;V ADV _
« дуже важливо , щоб наші міжнародні партнери чітко розуміли про те , які зміни відбуваються в україні .	« дуже важливо , щоб наш міжнародний партнер чітко розуміти про те , який зміна відбуватися в україна .	_ ADV ADV _ CONJ 1;DET;NOM;PL ADJ;NOM;PL ANIM;MASC;N;NOM;PL ADV FIN;IND;IPFV;PL;PST;V ACC;ADP ACC;INAN;NEUT;PRO;SG _ DET;NOM;PL FEM;INAN;N;NOM;PL 3;FIN;IND;IPFV;PL;PRS;V ADP;ESS ESS;FEM;INAN;PROPN;SG _
кабінет міністрів затвердив план реконструкції ряду енергоблоків теплових електростанцій , що працюють на антрациті ( видобувається в окупованих районах донбасу ) , не передбачивши зміну виду палива .	кабінет міністр затвердити план реконструкція ряд енергоблок тепловий електростанція , що працювати на антрацит ( видобуватися в окупований район донбас ) , не передбачити зміна вид паливо .	INAN;MASC;N;NOM;SG ANIM;GEN;MASC;N;PL FIN;IND;MASC;PFV;PST;SG;V ACC;INAN;MASC;N;SG FEM;GEN;INAN;N;SG GEN;INAN;MASC;N;SG GEN;INAN;MASC;N;PL ADJ;GEN;PL FEM;GEN;INAN;N;PL _ CONJ 3;FIN;IND;IPFV;PL;PRS;V ADP;ESS ESS;INAN;MASC;N;SG _ 3;FIN;IND;IPFV;PRS;SG;V ADP;ESS ADJ;ESS;PASS;PFV;PL;V.PTCP ESS;INAN;MASC;N;PL GEN;INAN;MASC;PROPN;SG _ _ NEG;PART PFV;PST;V;V.CVB ACC;FEM;INAN;N;SG GEN;INAN;MASC;N;SG GEN;INAN;N;NEUT;SG _
дівчинка навчилась вирізати ножицями гнійні рани , заки три дні чекала на каракєджбу , якого посадили на губу за те , що зачинив кількох нестаранних солдатів у пивниці з відкритими бочками лізолу .	дівчинка навчитися вирізати ножиці гнійний рана , заки три день чекати на каракєджба , який посадити на губа за те , що зачинити кілька нестаранний солдат у пивниця з відкритий бочка лізол .	ANIM;FEM;N;NOM;SG FEM;FIN;IND;PFV;PST;SG;V IPFV;NFIN;V INAN;INS;N ACC;ADJ;INAN;PL ACC;FEM;INAN;N;PL _ CONJ ACC;NUM ACC;INAN;MASC;N;PL FEM;FIN;IND;IPFV;PST;SG;V ACC;ADP ACC;ANIM;MASC;PROPN;SG _ ACC;ANIM;DET;MASC;SG FIN;IND;PFV;PL;PST;V ACC;ADP ACC;FEM;INAN;N;SG ACC;ADP ACC;INAN;NEUT;PRO;SG _ CONJ FIN;IND;MASC;PFV;PST;SG;V ACC;DET ACC;ADJ;ANIM;PL ACC;ANIM;MASC;N;PL ADP;ESS ESS;FEM;INAN;N;SG ADP;INS ADJ;INS;PASS;PFV;PL;V.PTCP FEM;INAN;INS;N;PL GEN;INAN;MASC;N;SG _
у першому випадку це може призвести до того , що навчальний процес залишиться без викладача , якого замінити немає ким .	у перший випадок це могти призвести до те , що навчальний процес залишитися без викладач , який замінити немати хто .	ADP;ESS ADJ;ESS;MASC;SG ESS;INAN;MASC;N;SG INAN;NEUT;NOM;PRO;SG 3;FIN;IND;IPFV;PRS;SG;V NFIN;PFV;V ADP;GEN GEN;INAN;NEUT;PRO;SG _ CONJ ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG 3;FIN;FUT;IND;PFV;SG;V ADP;GEN ANIM;GEN;MASC;N;SG _ ACC;ANIM;DET;MASC;SG NFIN;PFV;V 3;FIN;IND;IPFV;NEG;PRS;SG;V ANIM;INS;MASC;PRO;SG _
значить , коли писатель змалює портрет дійсної людини або подасть її біографію , то для реального критика се буде цінніше від повісті гоголя або гончарова .	значити , коли писатель змалювати портрет дійсний людина або подати її біографія , то для реальний критик се бути цінніший від повість гоголь або гончаров .	3;FIN;IND;IPFV;PRS;SG;V _ CONJ ANIM;MASC;N;NOM;SG 3;FIN;FUT;IND;PFV;SG;V ACC;INAN;MASC;N;SG ADJ;FEM;GEN;SG ANIM;FEM;GEN;N;SG CONJ 3;FIN;FUT;IND;PFV;SG;V 3;ACC;DET;FEM;SG ACC;FEM;INAN;N;SG _ PART ADP;GEN ADJ;GEN;MASC;SG ANIM;GEN;MASC;N;SG INAN;NEUT;NOM;PRO;SG 3;FIN;FUT;IND;IPFV;SG;V ADJ;CMPR;NEUT;NOM;SG ADP;GEN FEM;GEN;INAN;N;SG ANIM;GEN;MASC;PROPN;SG CONJ ANIM;GEN;MASC;PROPN;SG _
— друже командир , — це знов була вона , лиш голос мала одмінений до непізнання , низький , мов перестуджений .	— друг командир , — це знов бути вона , лиш голос мати одмінений до непізнання , низький , мов перестуджений .	_ ANIM;MASC;N;SG;VOC ANIM;MASC;N;NOM;SG _ _ INAN;NEUT;NOM;PRO;SG ADV FEM;FIN;IND;IPFV;PST;SG;V 3;FEM;NOM;PRO;SG _ CONJ ACC;INAN;MASC;N;SG FEM;FIN;IND;IPFV;PST;SG;V ACC;ADJ;INAN;MASC;PASS;PFV;SG;V.PTCP ADP;GEN GEN;INAN;N;NEUT;SG _ ACC;ADJ;INAN;MASC;SG _ CONJ ACC;ADJ;INAN;MASC;PASS;PFV;SG;V.PTCP _
warszawiacy , nie przegapcie !	warszawiacy , nie przegapcie !	_ _ _ _ _
коли « батьки » , пригнічені нестерпним зовнішнім тиском , загрозою самому існуванню нації , часто трималися оборонної , консервативної , домашньовжиткової позиції , то діти лишень музеєфікацією дорогого минулого вже обмежуватися не хотіли .	коли « батько » , пригнічений нестерпний зовнішній тиск , загроза самий існування нація , часто триматися оборонний , консервативний , домашньовжитковий позиція , то дитина лишень музеєфікація дорогий минуле вже обмежуватися не хотіти .	CONJ _ ANIM;MASC;N;NOM;PL _ _ ADJ;NOM;PASS;PFV;PL;V.PTCP ADJ;INS;MASC;SG ADJ;INS;MASC;SG INAN;INS;MASC;N;SG _ FEM;INAN;INS;N;SG DAT;DET;NEUT;REFL;SG DAT;INAN;N;NEUT;SG FEM;GEN;INAN;N;SG _ ADV FIN;IND;IPFV;PL;PST;V ADJ;FEM;GEN;SG _ ADJ;FEM;GEN;SG _ ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _ PART ANIM;FEM;N;NOM;PL PART FEM;INAN;INS;N;SG ADJ;GEN;NEUT;SG GEN;INAN;N;NEUT;SG ADV IPFV;NFIN;V NEG;PART FIN;IND;IPFV;PL;PST;V _
істинна картинка програмера - генія , яку змальовують сьогодні для нас біографії возняка , джобса та ґейтса .	істинний картинка програмер - геній , який змальовувати сьогодні для ми біографія возняк , джобс та ґейтс .	ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG ANIM;GEN;MASC;N;SG _ ANIM;GEN;MASC;N;SG _ ACC;DET;FEM;SG 3;FIN;IND;IPFV;PL;PRS;V ADV ADP;GEN 1;ANIM;GEN;PL;PRO FEM;INAN;N;NOM;PL ANIM;GEN;MASC;PROPN;SG _ ANIM;GEN;MASC;PROPN;SG CONJ ANIM;GEN;MASC;PROPN;SG _
на листопадовій демонстрації ми кілька годин стояли на певній ділянці визначеної вулиці і чекали своєї черги пройти перед трибуною .	на листопадовий демонстрація ми кілька година стояти на певний ділянка визначений вулиця і чекати свій черга пройти перед трибуна .	ADP;ESS ADJ;ESS;FEM;SG ESS;FEM;INAN;N;SG 1;ANIM;NOM;PL;PRO ACC;DET FEM;GEN;INAN;N;PL FIN;IND;IPFV;PL;PST;V ADP;ESS ADJ;ESS;FEM;SG ESS;FEM;INAN;N;SG ADJ;FEM;GEN;PASS;PFV;SG;V.PTCP FEM;GEN;INAN;N;SG CONJ FIN;IND;IPFV;PL;PST;V DET;FEM;GEN;REFL;SG FEM;GEN;INAN;N;SG NFIN;PFV;V ADP;INS FEM;INAN;INS;N;SG _
інерція є джерелом відцентрової сили , що розтягує мотузку , пружність мотузки є джерелом доцентрової сили , ці сили врівноважені , і ніхто нікуди не прискорюється , бо відстань між каменем і центром не змінюється .	інерція бути джерело відцентровий сила , що розтягувати мотузка , пружність мотузка бути джерело доцентровий сила , цей сила врівноважений , і ніхто нікуди не прискорюватися , бо відстань між камінь і центр не змінюватися .	FEM;INAN;N;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V INAN;INS;N;NEUT;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _ CONJ 3;FIN;IND;IPFV;PRS;SG;V ACC;FEM;INAN;N;SG _ FEM;INAN;N;NOM;SG FEM;GEN;INAN;N;SG 3;FIN;IND;IPFV;PRS;SG;V INAN;INS;N;NEUT;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _ DET;NOM;PL FEM;INAN;N;NOM;PL ADJ;NOM;PASS;PFV;PL;V.PTCP _ CONJ ANIM;NOM;PRO ADV NEG;PART 3;FIN;IND;IPFV;PRS;SG;V _ CONJ FEM;INAN;N;NOM;SG ADP;INS INAN;INS;MASC;N;SG CONJ INAN;INS;MASC;N;SG NEG;PART 3;FIN;IND;IPFV;PRS;SG;V _
лікування : при передозуванні необхідна швидка медична допомога .	лікування : при передозування необхідний швидкий медичний допомога .	INAN;N;NEUT;NOM;SG _ ADP;ESS ESS;INAN;N;NEUT;SG ADJ;FEM;NOM;SG ADJ;FEM;NOM;SG ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG _
але ...	але ...	CONJ _
барабан пристосував зі старої пральної машини « ардо » .	барабан пристосувати зі старий пральний машина « ардо » .	ACC;INAN;MASC;N;SG FIN;IND;MASC;PFV;PST;SG;V ADP;GEN ADJ;FEM;GEN;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _ FEM;INAN;NOM;PROPN;SG _ _
команди змагатимуться на території дитячого табору відпочинку « зоряний » пат « сумихімпром » ( с . вільшанка сумського району ) .	команда змагатися на територія дитячий табір відпочинок « зоряний » пат « сумихімпром » ( с. . вільшанка сумський район ) .	FEM;INAN;N;NOM;PL 3;FIN;FUT;IND;IPFV;PL;V ADP;ESS ESS;FEM;INAN;N;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG GEN;INAN;MASC;N;SG _ INAN;MASC;NOM;PROPN;SG _ GEN;INAN;N;NEUT;SG _ INAN;MASC;NOM;PROPN;SG _ _ INAN;N;NEUT;NOM;SG _ FEM;INAN;NOM;PROPN;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _ _
моєму другові євгену степаненку побратими з передової передали кицьку .	мій друг євген степаненко побратим з передова передати кицька .	1;DAT;DET;MASC;SG ANIM;DAT;MASC;N;SG ANIM;DAT;MASC;PROPN;SG ANIM;DAT;MASC;PROPN;SG ANIM;MASC;N;NOM;PL ADP;GEN FEM;GEN;INAN;N;SG FIN;IND;PFV;PL;PST;V ACC;ANIM;FEM;N;SG _
вони мають циліндр . двоконічну форму .	вони мати циліндр . двоконічний форма .	3;NOM;PL;PRO 3;FIN;IND;IPFV;PL;PRS;V ACC;ADJ;FEM;SG _ ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG _
і прізвище хрещеного батька записано " дяденко " , а в нас таких прізвищ нема .	і прізвище хрещений батько записати " дяденко " , а в ми такий прізвище немати .	CONJ ACC;INAN;N;NEUT;SG ADJ;GEN;MASC;PASS;PFV;SG;V.PTCP ANIM;GEN;MASC;N;SG 0;FIN;IND;PFV;V _ ANIM;MASC;NOM;PROPN;SG _ _ CONJ ADP;GEN 1;ANIM;GEN;PL;PRO DET;GEN;PL GEN;INAN;N;NEUT;PL 3;FIN;IND;IPFV;NEG;PRS;SG;V _
ми сіли у машини .	ми сісти у машина .	1;ANIM;NOM;PL;PRO FIN;IND;PFV;PL;PST;V ACC;ADP ACC;FEM;INAN;N;PL _
