занимает площадь 352,658 км2 .	занимать площадь 352,658 км2 .	3;FIN;IND;IPFV;PRS;SG;V ACC;FEM;INAN;N;SG NOM;NUM GEN;INAN;MASC;N;PL _
при возке сломалась пружина подрессоривания .	при возка сломаться пружина подрессоривание .	ADP ESS;FEM;INAN;N;SG FEM;FIN;IND;MID;PFV;PST;SG;V FEM;INAN;N;NOM;SG GEN;INAN;N;NEUT;SG _
дальнейшие наблюдения показали , что хронический тиреоидит может протекать в различных вариантах , сопровождаться симптомами как повышенной , так и пониженной функции щитовидной железы , её увеличением ( зобом ) или атрофией , что привело к выделению нескольких форм аутоиммунного тиреоидита .	дальнейший наблюдение показать , что хронический тиреоидит мочь протекать в различный вариант , сопровождаться симптом как повышенный , так и пониженный функция щитовидный железа , ее увеличение ( зоб ) или атрофия , что привести к выделение несколько форма аутоиммунный тиреоидит .	ADJ;INAN;NOM;PL INAN;N;NEUT;NOM;PL FIN;IND;PFV;PL;PST;V _ CONJ ADJ;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V IPFV;NFIN;V ADP ADJ;ESS;INAN;PL ESS;INAN;MASC;N;PL _ IPFV;MID;NFIN;V INAN;INS;MASC;N;PL CONJ ADJ;FEM;GEN;INAN;SG _ ADV CONJ ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG _ 3;DET INAN;INS;N;NEUT;SG _ INAN;INS;MASC;N;SG _ CONJ FEM;INAN;INS;N;SG _ DET;INAN;NEUT;NOM;SG FIN;IND;NEUT;PFV;PST;SG;V ADP DAT;INAN;N;NEUT;SG GEN;INAN;NUM FEM;GEN;INAN;N;PL ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG _
в ночь на 20 февраля венецианцы погрузили на корабли всё , что можно было вывезти , и покинули остров .	в ночь на 20 февраль венецианец погрузить на корабль всё , что можно быть вывезти , и покинуть остров .	ADP ACC;FEM;INAN;N;SG ADP ACC;ADJ;INAN;NEUT;SG GEN;INAN;MASC;N;SG ANIM;MASC;N;NOM;PL FIN;IND;PFV;PL;PST;V ADP ACC;INAN;MASC;N;PL ADV _ ACC;INAN;NEUT;PRO;SG V FIN;IND;IPFV;NEUT;PST;SG;V NFIN;PFV;V _ CONJ FIN;IND;PFV;PL;PST;V ACC;INAN;MASC;N;SG _
ледник оставил толстый слой моренных отложений : суглинков , песков и супесей .	ледник оставить толстый слой моренный отложение : суглинок , песок и супесь .	INAN;MASC;N;NOM;SG FIN;IND;MASC;PFV;PST;SG;V ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG ADJ;GEN;INAN;PL GEN;INAN;N;NEUT;PL _ GEN;INAN;MASC;N;PL _ GEN;INAN;MASC;N;PL CONJ FEM;GEN;INAN;N;PL _
в конкурсе участвовали молодые танцоры из 10 европейских стран в возрасте от 16 лет до 21 года .	в конкурс участвовать молодой танцор из 10 европейский страна в возраст от 16 год до 21 год .	ADP ESS;INAN;MASC;N;SG FIN;IND;IPFV;PL;PST;V ADJ;ANIM;NOM;PL ANIM;MASC;N;NOM;PL ADP GEN;NUM ADJ;GEN;INAN;PL FEM;GEN;INAN;N;PL ADP ESS;INAN;MASC;N;SG ADP GEN;NUM GEN;INAN;MASC;N;PL ADP GEN;INAN;MASC;NUM;SG GEN;INAN;MASC;N;SG _
это можно заметить по артикуляции актеров , хотя озвучивали финскую версию фильма всё же финские актеры ( у анны орочко и ивана воронова другие голоса ) .	это можно заметить по артикуляция актер , хотя озвучивать финский версия фильм всё же финский актер ( у анна орочко и иван воронов другой голос ) .	ACC;INAN;NEUT;PRO;SG V NFIN;PFV;V ADP DAT;FEM;INAN;N;SG ANIM;GEN;MASC;N;PL _ CONJ FIN;IND;IPFV;PL;PST;V ACC;ADJ;FEM;INAN;SG ACC;FEM;INAN;N;SG GEN;INAN;MASC;N;SG ADV PART ADJ;ANIM;NOM;PL ANIM;MASC;N;NOM;PL _ ADP ANIM;FEM;GEN;PROPN;SG ANIM;FEM;GEN;PROPN;SG CONJ ANIM;GEN;MASC;PROPN;SG ANIM;GEN;MASC;PROPN;SG ADJ;INAN;NOM;PL INAN;MASC;N;NOM;PL _ _
именно такие страны являются объектом основных усилий канадских вооружённых сил в ходе миротворческих операций за рубежом .	именно такой страна являться объект основной усилие канадский вооруженный сила в ход миротворческий операция за рубеж .	PART DET;INAN;NOM;PL FEM;INAN;N;NOM;PL 3;FIN;IND;IPFV;MID;PL;PRS;V INAN;INS;MASC;N;SG ADJ;GEN;INAN;PL GEN;INAN;N;NEUT;PL ADJ;GEN;INAN;PL ADJ;GEN;INAN;PL FEM;GEN;INAN;N;PL ADP ESS;INAN;MASC;N;SG ADJ;GEN;INAN;PL FEM;GEN;INAN;N;PL ADP INAN;INS;MASC;N;SG _
итикава переехал в токио .	итикава переехать в токио .	ANIM;MASC;NOM;PROPN;SG FIN;IND;MASC;PFV;PST;SG;V ADP ACC;INAN;MASC;PROPN;SG _
серина ( ) -- коммуна в италии , располагается в регионе ломбардия , в провинции бергамо .	серина ( ) -- коммуна в италия , располагаться в регион ломбардия , в провинция бергамо .	FEM;INAN;NOM;PROPN;SG _ _ _ FEM;INAN;N;NOM;SG ADP ESS;FEM;INAN;PROPN;SG _ 3;FIN;IND;IPFV;MID;PRS;SG;V ADP ESS;INAN;MASC;N;SG FEM;INAN;NOM;PROPN;SG _ ADP ESS;FEM;INAN;N;SG INAN;NEUT;NOM;PROPN;SG _
в 2000 году трэйси поллан была номинирована на премию `` эмми &#39;&#39; в категории `` лучшая приглашённая актриса в драматическом телесериале &#39;&#39; за своё яркое исполнение роли жертвы изнасилования в телесериале `` закон и порядок : специальный корпус &#39;&#39; .	в 2000 год трэйси поллан быть номинировать на премия `` эмми &#39;&#39; в категория `` лучший пригласить актриса в драматический телесериал &#39;&#39; за свой яркий исполнение роль жертва изнасилование в телесериал `` закон и порядок : специальный корпус &#39;&#39; .	ADP ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG ANIM;FEM;NOM;PROPN;SG ANIM;FEM;NOM;PROPN;SG FEM;FIN;IND;IPFV;PST;SG;V ANIM;FEM;NOM;PASS;PFV;PST;SG;V;V.PTCP ADP ACC;FEM;INAN;N;SG _ ACC;ANIM;FEM;PROPN;SG _ ADP ESS;FEM;INAN;N;SG _ ADJ;ANIM;FEM;NOM;RL;SG ANIM;FEM;NOM;PASS;PFV;PST;SG;V;V.PTCP ANIM;FEM;N;NOM;SG ADP ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG _ ADP ACC;DET;INAN;NEUT;REFL;SG ACC;ADJ;INAN;NEUT;SG ACC;INAN;N;NEUT;SG FEM;GEN;INAN;N;SG ANIM;FEM;GEN;N;SG GEN;INAN;N;NEUT;SG ADP ESS;INAN;MASC;N;SG _ INAN;MASC;N;NOM;SG CONJ INAN;MASC;N;NOM;SG _ ADJ;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG _ _
иоанн в первые дни марта , учитывая `` неокончательное &#39;&#39; отречение михаила , рассматривал возможность молитвы о царской власти .	иоанн в первый день март , учитывать `` неокончательный &#39;&#39; отречение михаил , рассматривать возможность молитва о царский власть .	ANIM;MASC;NOM;PROPN;SG ADP ACC;ADJ;INAN;PL ACC;INAN;MASC;N;PL GEN;INAN;MASC;N;SG _ IPFV;V;V.CVB _ ACC;ADJ;INAN;NEUT;SG _ ACC;INAN;N;NEUT;SG ANIM;GEN;MASC;PROPN;SG _ FIN;IND;IPFV;MASC;PST;SG;V ACC;FEM;INAN;N;SG FEM;GEN;INAN;N;SG ADP ADJ;ESS;FEM;INAN;SG FEM;GEN;INAN;N;SG _
трек - лист и название everything были анонсированы ещё в конце 2006 года .	трек - лист и название everything быть анонсировать еще в конец 2006 год .	ADV _ INAN;MASC;N;NOM;SG CONJ INAN;N;NEUT;NOM;SG INAN;MASC;N;NOM;SG FIN;IND;IPFV;PL;PST;V INAN;NOM;PASS;PFV;PL;PST;V;V.PTCP ADV ADP ESS;INAN;MASC;N;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG _
базисные ( общие ) формы организации обучения -- неделимые далее единицы , из которых складывается организационная структура учебного процесса в его конкретных формах .	базисный ( общий ) форма организация обучение -- неделимый далее единица , из который складываться организационный структура учебный процесс в его конкретный форма .	ADJ;INAN;NOM;PL _ ADJ;INAN;NOM;PL _ FEM;INAN;N;NOM;PL FEM;GEN;INAN;N;SG GEN;INAN;N;NEUT;SG _ ADJ;INAN;NOM;PL ADV;CMPR FEM;INAN;N;NOM;PL _ ADP GEN;INAN;PL;PRO 3;FIN;IND;IPFV;MID;PRS;SG;V ADJ;FEM;INAN;NOM;SG FEM;INAN;N;NOM;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG ADP 3;DET ADJ;ESS;INAN;PL ESS;FEM;INAN;N;PL _
когда доктор справился с врагом , радиотелескоп начал опускаться и он упал на землю .	когда доктор справиться с враг , радиотелескоп начать опускаться и он упасть на земля .	CONJ ANIM;MASC;N;NOM;SG FIN;IND;MASC;MID;PFV;PST;SG;V ADP ANIM;INS;MASC;N;SG _ INAN;MASC;N;NOM;SG FIN;IND;MASC;PFV;PST;SG;V IPFV;MID;NFIN;V CONJ 3;MASC;NOM;PRO;SG FIN;IND;MASC;PFV;PST;SG;V ADP ACC;FEM;INAN;N;SG _
в январе 1998 года встретился с корри сандерсом .	в январь 1998 год встретиться с корри сандерс .	ADP ESS;INAN;MASC;N;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG FIN;IND;MASC;MID;PFV;PST;SG;V ADP ANIM;INS;MASC;PROPN;SG ANIM;INS;MASC;PROPN;SG _
родился 14 июня 1800 года .	родиться 14 июнь 1800 год .	FIN;IND;MASC;MID;PFV;PST;SG;V ADJ;GEN;INAN;NEUT;SG GEN;INAN;MASC;N;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG _
речная система реки -- рур → рейн .	речной система река -- рур → рейн .	ADJ;FEM;INAN;NOM;SG FEM;INAN;N;NOM;SG FEM;GEN;INAN;N;SG _ INAN;MASC;NOM;PROPN;SG _ INAN;MASC;NOM;PROPN;SG _
по данным государственного водного реестра россии относится к окскому бассейновому округу , водохозяйственный участок реки -- упа от истока и до устья , речной подбассейн реки -- бассейны притоков оки до впадения мокши .	по данные государственный водный реестр россия относиться к окский бассейновый округ , водохозяйственный участок река -- упа от исток и до устье , речной подбассейн река -- бассейн приток ока до впадение мокша .	ADP DAT;INAN;N;NEUT;PL ADJ;GEN;INAN;MASC;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG FEM;GEN;INAN;PROPN;SG 3;FIN;IND;IPFV;MID;PRS;SG;V ADP ADJ;DAT;INAN;MASC;SG ADJ;DAT;INAN;MASC;SG DAT;INAN;MASC;N;SG _ ADJ;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG FEM;GEN;INAN;N;SG _ FEM;INAN;NOM;PROPN;SG ADP GEN;INAN;MASC;N;SG CONJ ADP GEN;INAN;N;NEUT;SG _ ADJ;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG FEM;GEN;INAN;N;SG _ INAN;MASC;N;NOM;PL GEN;INAN;MASC;N;PL FEM;GEN;INAN;PROPN;SG ADP GEN;INAN;N;NEUT;SG FEM;GEN;INAN;PROPN;SG _
ожидалось , что все улицы и площади города , по которым будут проходить троллейбусы , будут покрыты брусчаткой .	ожидаться , что весь улица и площадь город , по который быть проходить троллейбус , быть покрыть брусчатка .	FIN;IND;IPFV;MID;NEUT;PST;SG;V _ CONJ DET;INAN;NOM;PL FEM;INAN;N;NOM;PL CONJ FEM;INAN;N;NOM;PL GEN;INAN;MASC;N;SG _ ADP DAT;INAN;PL;PRO 3;FIN;FUT;IND;IPFV;PL;V IPFV;NFIN;V INAN;MASC;N;NOM;PL _ 3;FIN;FUT;IND;IPFV;PL;V INAN;NOM;PASS;PFV;PL;PST;V;V.PTCP FEM;INAN;INS;N;SG _
это классическое иледование современных демократических государств в условиях кризиса .	это классический иледование современный демократический государство в условие кризис .	INAN;NEUT;NOM;PRO;SG ADJ;INAN;NEUT;NOM;SG INAN;N;NEUT;NOM;SG ADJ;GEN;INAN;PL ADJ;GEN;INAN;PL GEN;INAN;N;NEUT;PL ADP ESS;INAN;N;NEUT;PL GEN;INAN;MASC;N;SG _
первый фильм с его участием и одновременно первый фильм студии the singing lovers / romance of the songsters ( ) был снят в 1932 или 1933 году и стал вторым в мире звуковым фильмом на кантонском диалекте .	первый фильм с его участие и одновременно первый фильм студия the singing lover / romance of the songster ( ) быть снять в 1932 или 1933 год и стать второй в мир звуковой фильм на кантонский диалект .	ADJ;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG ADP 3;DET INAN;INS;N;NEUT;SG CONJ ADV ADJ;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG FEM;GEN;INAN;N;SG ANIM;DET;NOM;PL ACT;ANIM;IPFV;NOM;PL;PRS;V;V.PTCP ANIM;MASC;N;NOM;PL _ INAN;MASC;N;NOM;SG ADP ANIM;DET;GEN;PL ANIM;GEN;MASC;N;PL _ _ FIN;IND;IPFV;MASC;PST;SG;V INAN;MASC;NOM;PASS;PFV;PST;SG;V;V.PTCP ADP ADJ;ESS;INAN;MASC;SG CONJ ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG CONJ FIN;IND;MASC;PFV;PST;SG;V ADJ;INAN;INS;MASC;SG ADP ESS;INAN;MASC;N;SG ADJ;INAN;INS;MASC;SG INAN;INS;MASC;N;SG ADP ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG _
также не сохранилось ни одной книги учета о захоронениях до 1941 года .	также не сохраниться ни один книга учет о захоронение до 1941 год .	CONJ NEG;PART FIN;IND;MID;NEUT;PFV;PST;SG;V NEG;PART FEM;GEN;INAN;NUM;SG FEM;GEN;INAN;N;SG GEN;INAN;MASC;N;SG ADP ESS;INAN;N;NEUT;PL ADP ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG _
сериал на своей производственной базе снимает специализирующаяся на этом процессе компания ( production company ) -- warner bros .	сериал на свой производственный база снимать специализироваться на этот процесс компания ( production company ) -- warner bro .	ACC;INAN;MASC;N;SG ADP DET;ESS;FEM;INAN;REFL;SG ADJ;ESS;FEM;INAN;SG ESS;FEM;INAN;N;SG 3;FIN;IND;IPFV;PRS;SG;V ACT;FEM;INAN;IPFV;NOM;PRS;SG;V;V.PTCP ADP DET;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG FEM;INAN;N;NOM;SG _ INAN;MASC;N;NOM;SG INAN;N;NEUT;NOM;SG _ _ ANIM;MASC;NOM;PROPN;SG ANIM;MASC;N;NOM;PL _
он считал необходимым учитывать возраст учащегося при выборе предметов преподавания , осуждал общепринятые методы изучения и преподавания талмуда и одобрительно высказывался об изучении светских наук , не противоречащих принципам иудаизма .	он считать необходимый учитывать возраст учащийся при выбор предмет преподавание , осуждать общепринятый метод изучение и преподавание талмуд и одобрительно высказываться об изучение светский наука , не противоречить принцип иудаизм .	3;MASC;NOM;PRO;SG FIN;IND;IPFV;MASC;PST;SG;V ADJ;INAN;INS;NEUT;SG IPFV;NFIN;V ACC;INAN;MASC;N;SG ANIM;GEN;MASC;N;SG ADP ESS;INAN;MASC;N;SG GEN;INAN;MASC;N;PL GEN;INAN;N;NEUT;SG _ FIN;IND;IPFV;MASC;PST;SG;V ACC;ADJ;INAN;PL ACC;INAN;MASC;N;PL GEN;INAN;N;NEUT;SG CONJ GEN;INAN;N;NEUT;SG GEN;INAN;MASC;PROPN;SG CONJ ADV FIN;IND;IPFV;MASC;MID;PST;SG;V ADP ESS;INAN;N;NEUT;SG ADJ;GEN;INAN;PL FEM;GEN;INAN;N;PL _ NEG;PART ACT;GEN;INAN;IPFV;PL;PRS;V;V.PTCP DAT;INAN;MASC;N;PL GEN;INAN;MASC;N;SG _
в годы великой отечественной войны в ульяновске в эвакуации находилась московская патриархия .	в год великий отечественный война в ульяновск в эвакуация находиться московский патриархия .	ADP ACC;INAN;MASC;N;PL ADJ;FEM;GEN;INAN;SG ADJ;FEM;GEN;INAN;SG FEM;GEN;INAN;N;SG ADP ESS;INAN;MASC;PROPN;SG ADP ESS;FEM;INAN;N;SG FEM;FIN;IND;IPFV;MID;PST;SG;V ADJ;FEM;INAN;NOM;SG FEM;INAN;N;NOM;SG _
моисты -- родовой аул тайпа майстой .	моисты -- родовой аул тайп майстой .	INAN;MASC;NOM;PROPN;SG _ ADJ;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG GEN;INAN;MASC;N;SG INAN;MASC;NOM;PROPN;SG _
в литературе близким по значению является бестселлер .	в литература близкий по значение являться бестселлер .	ADP ESS;FEM;INAN;N;SG ADJ;INAN;INS;MASC;SG ADP DAT;INAN;N;NEUT;SG 3;FIN;IND;IPFV;MID;PRS;SG;V INAN;MASC;N;NOM;SG _
мортенсен в последние годы жизни почти потерял зрение и почти все время проводил в кресле - каталке , слушая радио .	мортенсен в последний год жизнь почти потерять зрение и почти весь время проводить в кресло - каталка , слушать радио .	ANIM;MASC;NOM;PROPN;SG ADP ACC;ADJ;INAN;PL ACC;INAN;MASC;N;PL FEM;GEN;INAN;N;SG ADV FIN;IND;MASC;PFV;PST;SG;V ACC;INAN;N;NEUT;SG CONJ ADV ACC;DET;INAN;NEUT;SG ACC;INAN;N;NEUT;SG FIN;IND;IPFV;MASC;PST;SG;V ADP ESS;INAN;N;NEUT;SG _ ESS;FEM;INAN;N;SG _ IPFV;V;V.CVB ACC;INAN;N;NEUT;SG _
участникам нужно было преодолеть множество ландшафтных препятствий и первым взобраться на вершину горы .	участник нужный быть преодолеть множество ландшафтный препятствие и первый взобраться на вершина гора .	ANIM;DAT;MASC;N;PL ADJ;NEUT;SG FIN;IND;IPFV;NEUT;PST;SG;V NFIN;PFV;V ACC;INAN;N;NEUT;SG ADJ;GEN;INAN;PL GEN;INAN;N;NEUT;PL CONJ ADJ;ANIM;INS;MASC;SG MID;NFIN;PFV;V ADP ACC;FEM;INAN;N;SG FEM;GEN;INAN;N;SG _
вчера вершинин , рытов , я и группа офицеров центрального аппарата ввс просмотрели эту кинокомедию .	вчера вершинин , рытов , я и группа офицер центральный аппарат ввс просмотреть этот кинокомедия .	ADV ANIM;MASC;NOM;PROPN;SG _ ANIM;MASC;NOM;PROPN;SG _ 1;NOM;PRO;SG CONJ FEM;INAN;N;NOM;SG ANIM;GEN;MASC;N;PL ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG FEM;GEN;INAN;PL;PROPN FIN;IND;PFV;PL;PST;V ACC;DET;FEM;INAN;SG ACC;FEM;INAN;N;SG _
от этого названия адам бременский впервые произвёл словосочетание `` балтийское море &#39;&#39; ( ) для обозначения восточного моря	от этот название адам бременский впервые произвести словосочетание `` балтийский море &#39;&#39; ( ) для обозначение восточный море	ADP DET;GEN;INAN;NEUT;SG GEN;INAN;N;NEUT;SG ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG ADV FIN;IND;MASC;PFV;PST;SG;V ACC;INAN;N;NEUT;SG _ ADJ;INAN;NEUT;NOM;SG GEN;INAN;N;NEUT;SG _ _ _ ADP GEN;INAN;N;NEUT;SG ADJ;GEN;INAN;NEUT;SG INAN;N;NEUT;NOM;SG
лишь с воцарением императора генриха ii `` эта картина вражды исчезла и расцвёл , воссияв , цветок доброго мира &#39;&#39; .	лишь с воцарение император генрих ii `` этот картина вражда исчезнуть и расцвести , воссиять , цветок добрый мир &#39;&#39; .	PART ADP INAN;INS;N;NEUT;SG ANIM;GEN;MASC;N;SG ANIM;GEN;MASC;PROPN;SG ADJ;ANIM;GEN;MASC;SG _ DET;FEM;INAN;NOM;SG FEM;INAN;N;NOM;SG FEM;GEN;INAN;N;SG FEM;FIN;IND;PFV;PST;SG;V CONJ FIN;IND;MASC;PFV;PST;SG;V _ PFV;V;V.CVB _ INAN;MASC;N;NOM;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG _ _
23 августа того же года принимал участие в посвящении священномученика александра ( щукина ) на лысковскую кафедру .	23 август тот же год принимать участие в посвящение священномученик александр ( щукин ) на лысковский кафедра .	ADJ;GEN;INAN;NEUT;SG GEN;INAN;MASC;N;SG DET;GEN;INAN;MASC;SG PART GEN;INAN;MASC;N;SG FIN;IND;IPFV;MASC;PST;SG;V ACC;INAN;N;NEUT;SG ADP ESS;INAN;N;NEUT;SG ANIM;GEN;MASC;N;SG ANIM;GEN;MASC;PROPN;SG _ ANIM;GEN;MASC;PROPN;SG _ ADP ACC;ADJ;FEM;INAN;SG ACC;FEM;INAN;N;SG _
входит в состав округа шатору .	входить в состав округ шатору .	3;FIN;IND;IPFV;PRS;SG;V ADP ACC;INAN;MASC;N;SG GEN;INAN;MASC;N;SG GEN;INAN;MASC;PROPN;SG _
toyota will vi выпускалась с января 2000 года по декабрь 2001 .	toyota will vi выпускаться с январь 2000 год по декабрь 2001 .	FEM;INAN;NOM;PROPN;SG INAN;MASC;NOM;PROPN;SG INAN;MASC;NOM;PROPN;SG FEM;FIN;IND;IPFV;MID;PST;SG;V ADP GEN;INAN;MASC;N;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG ADP ACC;INAN;MASC;N;SG ADJ;GEN;INAN;MASC;SG _
поступил юношей в духовную семинарию сен - сюльпис и , по окончании ( с выдающмимися результатами ) своего богословского образования , отправился в качестве профессора в семинарию города нант , но затем вернулся обратно в сен - сюльпис , где в 1818 году , по принятии священства , был назначен профессором догматики .	поступить юноша в духовный семинария сен - сюльпис и , по окончание ( с выдающийся результат ) свой богословский образование , отправиться в качество профессор в семинария город нант , но затем вернуться обратно в сен - сюльпис , где в 1818 год , по принятие священство , быть назначить профессор догматика .	FIN;IND;MASC;PFV;PST;SG;V ANIM;INS;MASC;N;SG ADP ACC;ADJ;FEM;INAN;SG ACC;FEM;INAN;N;SG ADV _ ACC;INAN;MASC;PROPN;SG CONJ _ ADP ESS;INAN;N;NEUT;SG _ ADP ADJ;INAN;INS;PL INAN;INS;MASC;N;PL _ DET;GEN;INAN;NEUT;REFL;SG ADJ;GEN;INAN;NEUT;SG GEN;INAN;N;NEUT;SG _ FIN;IND;MASC;MID;PFV;PST;SG;V ADP ESS;INAN;N;NEUT;SG ANIM;GEN;MASC;N;SG ADP ACC;FEM;INAN;N;SG GEN;INAN;MASC;N;SG INAN;MASC;NOM;PROPN;SG _ CONJ ADV FIN;IND;MASC;MID;PFV;PST;SG;V ADV ADP ADV _ ACC;INAN;MASC;PROPN;SG _ ADV ADP ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG _ ADP ESS;INAN;N;NEUT;SG GEN;INAN;N;NEUT;SG _ FIN;IND;IPFV;MASC;PST;SG;V ANIM;MASC;NOM;PASS;PFV;PST;SG;V;V.PTCP ANIM;INS;MASC;N;SG FEM;GEN;INAN;N;SG _
в 1801 году папа пий vii официально разрешил существование общества , но только на территории россии .	в 1801 год папа пий vii официально разрешить существование общество , но только на территория россия .	ADP ADJ;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG ANIM;MASC;N;NOM;SG ANIM;MASC;NOM;PROPN;SG ADJ;ANIM;MASC;NOM;SG ADV FIN;IND;MASC;PFV;PST;SG;V ACC;INAN;N;NEUT;SG GEN;INAN;N;NEUT;SG _ CONJ PART ADP ESS;FEM;INAN;N;SG FEM;GEN;INAN;PROPN;SG _
передача власти от дании тевтонскому ордену произошла 1 ноября 1346 года .	передача власть от дания тевтонский орден произойти 1 ноябрь 1346 год .	FEM;INAN;N;NOM;SG FEM;GEN;INAN;N;SG ADP FEM;GEN;INAN;PROPN;SG ADJ;DAT;INAN;MASC;SG DAT;INAN;MASC;N;SG FEM;FIN;IND;PFV;PST;SG;V ADJ;GEN;INAN;NEUT;SG GEN;INAN;MASC;N;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG _
в военные годы одним из самых активных заказчиков нарбута стал литературно - художественный и сатирический журнал `` лукоморье &#39;&#39; .	в военный год один из самый активный заказчик нарбут стать литературно - художественный и сатирический журнал `` лукоморье &#39;&#39; .	ADP ACC;ADJ;INAN;PL ACC;INAN;MASC;N;PL ANIM;INS;MASC;NUM;SG ADP ADJ;ANIM;GEN;PL ADJ;ANIM;GEN;PL ANIM;GEN;MASC;N;PL ANIM;GEN;MASC;PROPN;SG FIN;IND;MASC;PFV;PST;SG;V ADV _ ADJ;INAN;MASC;NOM;SG CONJ ADJ;INAN;MASC;NOM;SG INAN;MASC;N;NOM;SG _ INAN;NEUT;NOM;PROPN;SG _ _
любимое покрытие -- грунт .	любимый покрытие -- грунт .	ADJ;INAN;NEUT;NOM;SG INAN;N;NEUT;NOM;SG _ INAN;MASC;N;NOM;SG _
входит в раздел кхуддака - никая палийского канона .	входить в раздел кхуддака - никая палийский канон .	3;FIN;IND;IPFV;PRS;SG;V ADP ACC;INAN;MASC;N;SG ADV _ FEM;INAN;NOM;PROPN;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG _
работал над вопросами гражданских прав при президентах кеннеди и джонсоне .	работать над вопрос гражданский право при президент кеннеди и джонсон .	FIN;IND;IPFV;MASC;PST;SG;V ADP INAN;INS;MASC;N;PL ADJ;GEN;INAN;PL GEN;INAN;N;NEUT;PL ADP ANIM;ESS;MASC;N;PL ANIM;ESS;MASC;PROPN;SG CONJ ANIM;ESS;MASC;PROPN;SG _
село принадлежало семье князей сокольских -- от села сокол , которое было их основным подворьем в этом ключе сёл .	село принадлежать семья князь сокольский -- от село сокол , который быть их основной подворье в этот ключ село .	INAN;N;NEUT;NOM;SG FIN;IND;IPFV;NEUT;PST;SG;V DAT;FEM;INAN;N;SG ANIM;GEN;MASC;N;PL ANIM;GEN;MASC;PL;PROPN _ ADP GEN;INAN;N;NEUT;SG ANIM;MASC;N;NOM;SG _ INAN;NEUT;NOM;PRO;SG FIN;IND;IPFV;NEUT;PST;SG;V 3;DET ADJ;INAN;INS;NEUT;SG INAN;INS;N;NEUT;SG ADP DET;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG GEN;INAN;N;NEUT;PL _
хрисанф в составе делегации 3 человек представлял малоазийский эллинизм на парижской мирной конференции .	хрисанф в состав делегация 3 человек представлять малоазийский эллинизм на парижский мирный конференция .	ANIM;MASC;NOM;PROPN;SG ADP ESS;INAN;MASC;N;SG FEM;GEN;INAN;N;SG ANIM;GEN;NUM ANIM;GEN;MASC;N;PL FIN;IND;IPFV;MASC;PST;SG;V ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG ADP ADJ;ESS;FEM;INAN;SG ADJ;ESS;FEM;INAN;SG ESS;FEM;INAN;N;SG _
получил домашнее образование .	получить домашний образование .	FIN;IND;MASC;PFV;PST;SG;V ACC;ADJ;INAN;NEUT;SG ACC;INAN;N;NEUT;SG _
на данный момент существует несколько дополняющих друг друга подходов к рассмотрению феномена светового чихательного рефлекса .	на данный момент существовать несколько дополнять друг друг подход к рассмотрение феномен световой чихательный рефлекс .	ADP ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG 3;FIN;IND;IPFV;PRS;SG;V INAN;NOM;NUM ACT;GEN;INAN;IPFV;PL;PRS;V;V.PTCP ANIM;MASC;N;NOM;SG ACC;ANIM;MASC;N;SG GEN;INAN;MASC;N;PL ADP DAT;INAN;N;NEUT;SG GEN;INAN;MASC;N;SG ADJ;GEN;INAN;MASC;SG ADJ;GEN;INAN;MASC;SG GEN;INAN;MASC;N;SG _
