suosittelisin , että sellaiset ihmiset menisivät nyt itseensä .	suositella , että sellainen ihminen mennä nyt itse .	1;ACT;COND;FIN;SG;V _ CONJ DET;NOM;PL N;NOM;PL 3;ACT;COND;FIN;PL;V ADV IN+ALL;PRO;PSS3;REFL;SG _
kaasukentät ovat kehnossa kunnossa .	kaasukenttä olla kehno kunto .	N;NOM;PL 3;ACT;FIN;IND;PL;PRS;V ADJ;IN+ESS;SG IN+ESS;N;SG _
hänestä odotettiin uutta carusoa	hän odottaa uusi caruso	3;IN+ABL;PRO;SG FIN;IND;PASS;PST;V ADJ;PRT;SG PROPN;PRT;SG
joukko aasialaisia liikevieraita tietää nyt millainen maa suomi on .	joukko aasialainen liikevieras tietää nyt millainen maa suomi olla .	N;NOM;SG ADJ;PL;PRT N;PL;PRT 3;ACT;FIN;IND;PRS;SG;V ADV ADJ;NOM;SG N;NOM;SG NOM;PROPN;SG 3;ACT;FIN;IND;PRS;SG;V _
taas tellu haukkui minua .	taas tellu haukkua minä .	ADV NOM;PROPN;SG 3;ACT;FIN;IND;PST;SG;V 1;PRO;PRT;SG _
kisa meni kertakaikkisen läskiksi .	kisa mennä kertakaikkinen läski .	N;NOM;SG 3;ACT;FIN;IND;PST;SG;V ADJ;GEN;SG N;SG;TRANS _
komeat kengät on sinullakin .	komea kenkä olla sinä .	ADJ;NOM;PL N;NOM;PL 3;ACT;FIN;IND;PRS;SG;V 2;AT+ESS;PRO;SG _
sulla ittelläs mittään olluk kus sä tähän tulit .	sinä itse mikään olla kun sinä tähän tulla .	2;AT+ESS;PRO;SG AT+ESS;PRO;PSS2S;REFL;SG PRO;PRT ACT;NOM;SG;V;V.PTCP CONJ 2;NOM;PRO;SG ADV 2;ACT;FIN;IND;PST;SG;V _
tietysti !	tietysti !	PART _
- niin ?	- niin ?	_ PART _
takki on liian pieni hihoista ja hartioista .	takki olla liian pieni hiha ja hartia .	N;NOM;SG 3;ACT;FIN;IND;PRS;SG;V ADV ADJ;NOM;SG IN+ABL;N;PL CONJ IN+ABL;N;PL _
jotta ihminen viihtyisi elämässä , hänellä pitäisi ehkä olla erilaisia kivoja projekteja .	jotta ihminen viihtyä elämä , hän pitää ehkä olla erilainen kiva projekti .	CONJ N;NOM;SG 3;ACT;COND;FIN;SG;V IN+ESS;N;SG _ 3;AT+ESS;PRO;SG 3;ACT;COND;FIN;SG;V PART ACT;NFIN;V ADJ;PL;PRT ADJ;PL;PRT N;PL;PRT _
hurskas toive siitä oppimisesta on tosi sangen harvoissa tapauksissa .	hurskas toive se oppiminen olla tosi sangen harva tapaus .	ADJ;NOM;SG N;NOM;SG IN+ABL;PRO;SG IN+ABL;N;SG 3;ACT;FIN;IND;PRS;SG;V ADJ;NOM;SG PART DET;IN+ESS;PL IN+ESS;N;PL _
suo lemusi märiltä kasveilta .	suo lemuta märkä kasvi .	N;NOM;SG 3;ACT;FIN;IND;PST;SG;V ADJ;AT+ABL;PL AT+ABL;N;PL _
kuka hänelle oli opettanut peilin edessä miten kävellä sisään ravintolaan .	kuka hän olla opettaa peili edessä miten kävellä sisään ravintola .	NOM;PRO;SG 3;AT+ALL;PRO;SG 3;ACT;FIN;IND;PST;SG;V ACT;NOM;SG;V;V.PTCP GEN;N;SG ADP ADV ACT;NFIN;V ADV IN+ALL;N;SG _
kotimaisessa ?	kotimainen ?	ADJ;IN+ESS;SG _
ajattele positiivisesti .	ajatella positiivisesti .	2;ACT;FIN;IMP;SG;V ADV _
rakennus- ja polttopuut	rakennus- ja polttopuu	_ CONJ N;NOM;PL
päästään yli kahteenkyt asteeseen tällä viikolla	päästä yli kaksikymmentä aste tämä viikko	FIN;IND;PASS;PRS;V ADV IN+ALL;NUM;SG IN+ALL;N;SG AT+ESS;DET;SG AT+ESS;N;SG
nyt kun voi verrata joukkuetta ja joukkuetta , huomaan miten huonosti jetsejä johdetaan	nyt kun voida verrata joukkue ja joukkue , huomata miten huonosti jets johtaa	ADV CONJ 3;ACT;FIN;IND;PRS;SG;V ACT;NFIN;V N;PRT;SG CONJ N;PRT;SG _ 1;ACT;FIN;IND;PRS;SG;V ADV ADV PL;PROPN;PRT FIN;IND;PASS;PRS;V
matemaatikko seltenillä on yksi ehkä hieman yllättävä harrastus , esperanto .	matemaatikko selten olla yksi ehkä hieman yllättävä harrastus , esperanto .	N;NOM;SG AT+ESS;PROPN;SG 3;ACT;FIN;IND;PRS;SG;V NOM;NUM;SG PART ADV ADJ;NOM;SG N;NOM;SG _ N;NOM;SG _
meniks se sitte miten pahasti	mennä se sitten miten pahasti	3;ACT;FIN;IND;PST;SG;V NOM;PRO;SG PART ADV ADV
salon mielestä joutsenet pitäisi malttaa jättää luonnon armoille .	salo mielestä joutsen pitää malttaa jättää luonto armoille .	GEN;PROPN;SG ADP N;NOM;PL 3;ACT;COND;FIN;SG;V ACT;NFIN;V ACT;NFIN;V GEN;N;SG ADP _
mä tunnen sen miehen , jonka kanssa sä menit taksiin .	minä tuntea se mies , joka kanssa sinä mennä taksi .	1;NOM;PRO;SG 1;ACT;FIN;IND;PRS;SG;V DET;GEN;SG GEN;N;SG _ GEN;PRO;SG ADP 2;NOM;PRO;SG 2;ACT;FIN;IND;PST;SG;V IN+ALL;N;SG _
linjoja yhdistyy , reittejä muuttuu .	linja yhdistyä , reitti muuttua .	N;PL;PRT 3;ACT;FIN;IND;PRS;SG;V _ N;PL;PRT 3;ACT;FIN;IND;PRS;SG;V _
ei pidä paikkaansa .	ei pitää paikka .	3;ACT;FIN;NEG;SG;V ACT;FIN;IND;PRS;V N;PRT;PSS3;SG _
ja ensimmäinen mitä isä sanoo - no vappukarnevaaleis se ei ainakaan tarvi hattua .	ja ensimmäinen mikä isä sanoa - no vappukarnevaali se ei ainakaan tarvita hattu .	CONJ ADJ;NOM;SG PRO;PRT N;NOM;SG 3;ACT;FIN;IND;PRS;SG;V _ INTJ IN+ESS;N;PL NOM;PRO;SG 3;ACT;FIN;NEG;SG;V PART ACT;FIN;IND;PRS;V N;PRT;SG _
kaarlea hävetti jälkeenpäin oma hätäännyksensä .	kaarle hävettää jälkeenpäin oma hätäännys .	PROPN;PRT;SG 3;ACT;FIN;IND;PST;SG;V ADV ADJ;NOM;SG N;NOM;PSS3;SG _
mä en mee kouluun , dora ilmoitti peitto korvissa .	minä ei mennä koulu , dora ilmoittaa peitto korva .	1;NOM;PRO;SG 1;ACT;FIN;NEG;SG;V ACT;FIN;IND;PRS;V IN+ALL;N;SG _ NOM;PROPN;SG 3;ACT;FIN;IND;PST;SG;V N;NOM;SG IN+ESS;N;PL _
säilytettävä viileässä .	säilyttää viileä .	NOM;PASS;SG;V;V.PTCP ADJ;IN+ESS;SG _
poliitikot eivät petä vain kansaa , vaan myös itseään .	poliitikko ei pettää vain kansa , vaan myös itse .	N;NOM;PL 3;ACT;FIN;NEG;PL;V ACT;FIN;IND;PRS;V PART N;PRT;SG _ CONJ PART PRO;PRT;PSS3;REFL;SG _
vaarilla on tekohampaat .	vaari olla tekohammas .	AT+ESS;N;SG 3;ACT;FIN;IND;PRS;SG;V N;NOM;PL _
ravintolat ovat tulvillaan hänenkaltaisiaan , jotka säihkyvät .	ravintola olla tulvillaan hänenkaltainen , joka säihkyä .	N;NOM;PL 3;ACT;FIN;IND;PL;PRS;V ADV ADJ;PL;PRT;PSS3 _ NOM;PL;PRO 3;ACT;FIN;IND;PL;PRS;V _
minä en ole sitä sanonut , eikä kukaan ole sitä sanonut kuulteni .	minä ei olla se sanoa , ei kukaan olla se sanoa kuullen .	1;NOM;PRO;SG 1;ACT;FIN;NEG;SG;V ACT;FIN;IND;PRS;V PRO;PRT;SG ACT;NOM;SG;V;V.PTCP _ 3;ACT;FIN;NEG;SG;V NOM;PRO;SG ACT;FIN;IND;PRS;V PRO;PRT;SG ACT;NOM;SG;V;V.PTCP ADV;PSS1S _
julkaistujen kirjoitettujen artikkelien määrä se kasvoi valtavasti .	julkaista kirjoittaa artikkeli määrä se kasvaa valtavasti .	GEN;PASS;PL;V;V.PTCP GEN;PASS;PL;V;V.PTCP GEN;N;PL N;NOM;SG NOM;PRO;SG 3;ACT;FIN;IND;PST;SG;V ADV _
suomalaisten käteiskassat ovat pysyneet alhaisena myös sen vuoksi , että --	suomalainen käteiskassa olla pysyä alhainen myös se vuoksi , että --	ADJ;GEN;PL N;NOM;PL 3;ACT;FIN;IND;PL;PRS;V ACT;NOM;PL;V;V.PTCP ADJ;FRML;SG PART GEN;PRO;SG ADP _ CONJ _
nürnbergin oikeudenkäynti oli ensimmäinen ja viimeinen , jonka liittoutuneet järjestivät vihollisiaan vastaan .	nürnberg oikeudenkäynti olla ensimmäinen ja viimeinen , joka liittoutua järjestää vihollinen vastaan .	GEN;PROPN;SG N;NOM;SG 3;ACT;FIN;IND;PST;SG;V ADJ;NOM;SG CONJ ADJ;NOM;SG _ GEN;PRO;SG ACT;NOM;PL;V;V.PTCP 3;ACT;FIN;IND;PL;PST;V N;PL;PRT;PSS3 ADP _
liisan joku ystävä	liisa joku ystävä	GEN;PROPN;SG DET;NOM;SG N;NOM;SG
janne ahosen mieliala on maassa , vaikka eihän janne koskaan mikään hymykone ole .	janne ahonen mieliala olla maa , vaikka ei janne koskaan mikään hymykone olla .	NOM;PROPN;SG GEN;PROPN;SG N;NOM;SG 3;ACT;FIN;IND;PRS;SG;V IN+ESS;N;SG _ CONJ 3;ACT;FIN;NEG;SG;V NOM;PROPN;SG ADV DET;NOM;SG N;NOM;SG ACT;FIN;IND;PRS;V _
ajatelkaapa , että esimerkiksi 20_000 eurolla saataisiin kirjasto koko mosambikin maakuntaan .	ajatella , että esimerkiksi 20_000 euro saada kirjasto koko mosambik maakunta .	2;ACT;FIN;IMP;PL;V _ CONJ ADV NUM AT+ESS;N;SG COND;FIN;PASS;V N;NOM;SG ADJ GEN;PROPN;SG IN+ALL;N;SG _
nollapistettä hyvin lähellä	nollapiste hyvin lähellä	N;PRT;SG ADV ADP
teemme leveän autotien hirsisaunan porraspieleen saakka .	tehdä leveä autotie hirsisauna porraspieli saakka .	1;ACT;FIN;IND;PL;PRS;V ADJ;GEN;SG GEN;N;SG GEN;N;SG IN+ALL;N;SG ADP _
mikä sinulle tuli ?	mikä sinä tulla ?	NOM;PRO;SG 2;AT+ALL;PRO;SG 3;ACT;FIN;IND;PST;SG;V _
abc-lehti analysoi litmasta kolmikosta kaikkein tarkimmin .	abc-lehti analysoida litmanen kolmikko kaikki tarkimmin .	N;NOM;SG 3;ACT;FIN;IND;PRS;SG;V PROPN;PRT;SG IN+ABL;N;SG DET;GEN;PL ADV;RL _
odotin häntä kaksi tuntia .	odottaa hän kaksi tunti .	1;ACT;FIN;IND;PST;SG;V 3;PRO;PRT;SG NOM;NUM;SG N;PRT;SG _
tuossa olisi ollut pankkiautomaatti .	tuossa olla olla pankkiautomaatti .	ADV 3;ACT;COND;FIN;SG;V ACT;NOM;SG;V;V.PTCP N;NOM;SG _
osa konsertista uusitaan lauantaina , jolloin ohjelmassa on kolme sibeliuksen laulua .	osa konsertti uusia lauantai , jolloin ohjelma olla kolme sibelius laulu .	N;NOM;SG IN+ABL;N;SG FIN;IND;PASS;PRS;V FRML;N;SG _ ADV IN+ESS;N;SG 3;ACT;FIN;IND;PRS;SG;V NOM;NUM;SG GEN;PROPN;SG N;PRT;SG _
päätin yrittää yrittämistä , kun meidän alan työtilanne huononi .	päättää yrittää yrittäminen , kun me ala työtilanne huonota .	1;ACT;FIN;IND;PST;SG;V ACT;NFIN;V N;PRT;SG _ CONJ 1;DET;GEN;PL GEN;N;SG N;NOM;SG 3;ACT;FIN;IND;PST;SG;V _
pitkältä kuljettajalta loppuu istuimen säätövara kesken .	pitkä kuljettaja loppua istuin säätövara kesken .	ADJ;AT+ABL;SG AT+ABL;N;SG 3;ACT;FIN;IND;PRS;SG;V GEN;N;SG N;NOM;SG ADV _
viihdyn niin hyvin myllykoskella , että keksisin vaikka mitä , että saisin jäädä .	viihtyä niin hyvin myllykoski , että keksiä vaikka mikä , että saada jäädä .	1;ACT;FIN;IND;PRS;SG;V PART ADV AT+ESS;PROPN;SG _ CONJ 1;ACT;COND;FIN;SG;V PART PRO;PRT _ CONJ 1;ACT;COND;FIN;SG;V ACT;NFIN;V _
meidän perhe	me perhe	1;DET;GEN;PL N;NOM;SG
viiden pisteen vihje : kysymyksessä on ei-suomalainen kirjailija , jo edesmennyt suuruus .	viisi piste vihje : kysymys olla ei-suomalainen kirjailija , jo edesmennä suuruus .	GEN;NUM;SG GEN;N;SG N;NOM;SG _ IN+ESS;N;SG 3;ACT;FIN;IND;PRS;SG;V ADJ;NOM;SG N;NOM;SG _ PART ACT;NOM;SG;V;V.PTCP N;NOM;SG _
se mies	se mies	DET;NOM;SG N;NOM;SG
no lue se kortti , kai siinä on selitys .	no lukea se kortti , kai se olla selitys .	INTJ 2;ACT;FIN;IMP;SG;V DET;NOM;SG N;NOM;SG _ PART IN+ESS;PRO;SG 3;ACT;FIN;IND;PRS;SG;V N;NOM;SG _
ikäistensä joukossa koulua käyvä victoria pitää matematiikasta .	ikäinen joukossa koulu käydä victoria pitää matematiikka .	ADJ;GEN;PL;PSS3 ADP N;PRT;SG ACT;NOM;SG;V;V.PTCP NOM;PROPN;SG 3;ACT;FIN;IND;PRS;SG;V IN+ABL;N;SG _
ihastuin tähän pöytään ikeassa .	ihastua tämä pöytä ikea .	1;ACT;FIN;IND;PST;SG;V DET;IN+ALL;SG IN+ALL;N;SG IN+ESS;PROPN;SG _
easybob on hiuksenhienosti testivoittajaa jäljessä .	easybob olla hiuksenhienosti testivoittaja jäljessä .	NOM;PROPN;SG 3;ACT;FIN;IND;PRS;SG;V ADV N;PRT;SG ADP _
kyllä asioita on hoidettu suhteellisen hyvin .	kyllä asia olla hoitaa suhteellinen hyvin .	PART N;PL;PRT 3;ACT;FIN;IND;PRS;SG;V NOM;PASS;SG;V;V.PTCP ADJ;GEN;SG ADV _
keskosia syntyy paljon .	keskonen syntyä paljon .	N;PL;PRT 3;ACT;FIN;IND;PRS;SG;V ADV _
poskettoman vähän	posketon vähän	ADJ;GEN;SG ADV
meillä vältyttiin sensaatioilla mässäilyltä paremmin kuin naapurimaa ruotsissa .	me välttyä sensaatio mässäily paremmin kuin naapurimaa ruotsi .	1;AT+ESS;PL;PRO FIN;IND;PASS;PST;V AT+ESS;N;PL AT+ABL;N;SG ADV;CMPR CONJ N;NOM;SG IN+ESS;PROPN;SG _
myös sakari pehkonen oli synnytyksessä helsingin kätilöopistolla vajaa kolme vuotta sitten juliuksen putkahtaessa maailmaan .	myös sakari pehkonen olla synnytys helsinki kätilöopisto vajaa kolme vuosi sitten julius putkahtaa maailma .	PART NOM;PROPN;SG NOM;PROPN;SG 3;ACT;FIN;IND;PST;SG;V IN+ESS;N;SG GEN;PROPN;SG AT+ESS;PROPN;SG ADJ;NOM;SG NOM;NUM;SG N;PRT;SG ADP GEN;PROPN;SG ACT;IN+ESS;NFIN;V IN+ALL;N;SG _
mitä tekisit jos saisit tonnin ?	mikä tehdä jos saada tonni ?	PRO;PRT 2;ACT;COND;FIN;SG;V CONJ 2;ACT;COND;FIN;SG;V GEN;N;SG _
miehet eivät olleet 1800-luvun loppupuolella tottuneet siihen , että nainen esitti julkisuudessa omia mielipiteitään .	mies ei olla 1800-luku loppupuolella tottua se , että nainen esittää julkisuus oma mielipide .	N;NOM;PL 3;ACT;FIN;NEG;PL;V ACT;FIN;IND;PL;PST;V GEN;N;SG ADP ACT;NOM;PL;V;V.PTCP IN+ALL;PRO;SG _ CONJ N;NOM;SG 3;ACT;FIN;IND;PST;SG;V IN+ESS;N;SG ADJ;PL;PRT N;PL;PRT;PSS3 _
hirvikärpänen pysyy hirven turkissa kuukausikaupalla	hirvikärpänen pysyä hirvi turkki kuukausikaupalla	N;NOM;SG 3;ACT;FIN;IND;PRS;SG;V GEN;N;SG IN+ESS;N;SG ADV
suomeen tulo on ikealle iso investointipäätös , ja uskon eu-jäsenyyden vaikuttaneen siihen niin , että tulo tänne on koettu turvallisemmaksi .	suomi tulo olla ikea iso investointipäätös , ja uskoa eu-jäsenyys vaikuttaa se niin , että tulo tänne olla kokea turvallinen .	IN+ALL;PROPN;SG N;NOM;SG 3;ACT;FIN;IND;PRS;SG;V AT+ALL;PROPN;SG ADJ;NOM;SG N;NOM;SG _ CONJ 1;ACT;FIN;IND;PRS;SG;V GEN;N;SG ACT;GEN;SG;V;V.PTCP IN+ALL;PRO;SG ADV _ CONJ N;NOM;SG ADV 3;ACT;FIN;IND;PRS;SG;V NOM;PASS;SG;V;V.PTCP ADJ;CMPR;SG;TRANS _
saako täältä kalaa ?	saada täältä kala ?	3;ACT;FIN;IND;PRS;SG;V ADV N;PRT;SG _
setälän kieliopin jälki	setälä kielioppi jälki	GEN;PROPN;SG GEN;N;SG N;NOM;SG
silloin ei ole lainkaan osattu käyttää talouteen syntynyttä pelivaraa hyödyksi .	silloin ei olla lainkaan osata käyttää talous syntyä pelivara hyöty .	ADV 3;ACT;FIN;NEG;SG;V ACT;FIN;IND;PRS;V ADV NOM;PASS;SG;V;V.PTCP ACT;NFIN;V IN+ALL;N;SG ACT;PRT;SG;V;V.PTCP N;PRT;SG N;SG;TRANS _
prinssit katsoivat thaimaan muuten joutuvan lopullisesti länsivaltojen hallitsemaksi .	prinssi katsoa thaimaa muuten joutua lopullisesti länsivalta hallita .	N;NOM;PL 3;ACT;FIN;IND;PL;PST;V GEN;PROPN;SG ADV ACT;GEN;SG;V;V.PTCP ADV GEN;N;PL SG;TRANS;V;V.PTCP _
minkähän niminen keittiömestari meillä mahtaa silloin juhannuksena olla ?	mikä niminen keittiömestari me mahtaa silloin juhannus olla ?	DET;GEN ADJ;NOM;SG N;NOM;SG 1;AT+ESS;PL;PRO 3;ACT;FIN;IND;PRS;SG;V ADV FRML;N;SG ACT;NFIN;V _
hän on ollut sairaana .	hän olla olla sairas .	3;NOM;PRO;SG 3;ACT;FIN;IND;PRS;SG;V ACT;NOM;SG;V;V.PTCP ADJ;FRML;SG _
tuli hiljaista	tulla hiljainen	3;ACT;FIN;IND;PST;SG;V ADJ;PRT;SG
saapua illan suussa	saapua ilta suussa	ACT;NFIN;V GEN;N;SG ADP
näppituntumalta voinee veikata , että suomalaisjuntit eivät mökkejään helposti vieraille anna .	näppituntuma voida veikata , että suomalaisjuntti ei mökki helposti vieras antaa .	AT+ABL;N;SG 3;ACT;FIN;POT;SG;V ACT;NFIN;V _ CONJ N;NOM;PL 3;ACT;FIN;NEG;PL;V N;PL;PRT;PSS3 ADV ADJ;AT+ALL;PL ACT;FIN;IND;PRS;V _
yk lähettää lentoteitse ruokaa afganistaniin .	yk lähettää lentoteitse ruoka afganistan .	NOM;PROPN;SG 3;ACT;FIN;IND;PRS;SG;V ADV N;PRT;SG IN+ALL;PROPN;SG _
kun pääsi kauppaopistoon , pääsi samalla kotoa pois .	kun päästä kauppaopisto , päästä samalla kotoa pois .	CONJ 3;ACT;FIN;IND;PST;SG;V IN+ALL;N;SG _ 3;ACT;FIN;IND;PST;SG;V ADV ADV ADV _
ruopattavat rannat ja jokisuut selvitetään ja ruopataan keski-suomen vesi- ja ympäristöpiirin toimesta .	ruopata ranta ja jokisuu selvittää ja ruopata keski-suomi vesi- ja ympäristöpiiri toimesta .	NOM;PASS;PL;V;V.PTCP N;NOM;PL CONJ N;NOM;PL FIN;IND;PASS;PRS;V CONJ FIN;IND;PASS;PRS;V GEN;PROPN;SG _ CONJ GEN;N;SG ADP _
sen tytön kännykkä katosi .	se tyttö kännykkä kadota .	DET;GEN;SG GEN;N;SG N;NOM;SG 3;ACT;FIN;IND;PST;SG;V _
saneerausohjelmalla saadaan lisäaikaa nykyisille lähijunille , joista vanhimmat ovat 1960-luvulta .	saneerausohjelma saada lisäaika nykyinen lähijuna , joka vanha olla 1960-luku .	AT+ESS;N;SG FIN;IND;PASS;PRS;V N;PRT;SG ADJ;AT+ALL;PL AT+ALL;N;PL _ IN+ABL;PL;PRO ADJ;NOM;PL;RL 3;ACT;FIN;IND;PL;PRS;V AT+ABL;N;SG _
emme ole muuttaneet	ei olla muuttaa	1;ACT;FIN;NEG;PL;V ACT;FIN;IND;PRS;V ACT;NOM;PL;V;V.PTCP
ordina oli asunut ruotsissa vain kaksi vuotta neljä kuukautta , kun hänelle myönnettiin kansalaisuus .	ordina olla asua ruotsi vain kaksi vuosi neljä kuukausi , kun hän myöntää kansalaisuus .	NOM;PROPN;SG 3;ACT;FIN;IND;PST;SG;V ACT;NOM;SG;V;V.PTCP IN+ESS;PROPN;SG PART NOM;NUM;SG N;PRT;SG NOM;NUM;SG N;PRT;SG _ CONJ 3;AT+ALL;PRO;SG FIN;IND;PASS;PST;V N;NOM;SG _
annas kun kääräisen siihen tupon .	antaa kun kääräistä se tupo .	2;ACT;FIN;IMP;SG;V CONJ 1;ACT;FIN;IND;PRS;SG;V IN+ALL;PRO;SG GEN;N;SG _
yleisöä odotetaan kuutisentuhatta .	yleisö odottaa kuutisentuhatta .	N;PRT;SG FIN;IND;PASS;PRS;V NOM;NUM;SG _
kotimikronkin saa pelittämään tuhatta ja sataa kun tietää konstit .	kotimikro saada pelittää tuhat ja sata kun tietää konsti .	GEN;N;SG 3;ACT;FIN;IND;PRS;SG;V ACT;IN+ALL;NFIN;V NUM;PRT;SG CONJ NUM;PRT;SG CONJ 3;ACT;FIN;IND;PRS;SG;V N;NOM;PL _
yhdeksän on onnennumeroni .	yhdeksän olla onnennumero .	NOM;NUM;SG 3;ACT;FIN;IND;PRS;SG;V N;NOM;PSS1S;SG _
palkattomalla virkavapaalla olen tilanteessa , jolloin voin lähteä .	palkaton virkavapaa olla tilanne , jolloin voida lähteä .	ADJ;AT+ESS;SG AT+ESS;N;SG 1;ACT;FIN;IND;PRS;SG;V IN+ESS;N;SG _ ADV 1;ACT;FIN;IND;PRS;SG;V ACT;NFIN;V _
ja jos jotain siihen ruokavalioon tulee muutoksia niin sitten meiän täytys oikeen selvittää että se on löytyny .	ja jos jokin se ruokavalio tulla muutos niin sitten me täytyä oikein selvittää että se olla löytyä .	CONJ CONJ DET;PRT;SG DET;IN+ALL;SG IN+ALL;N;SG 3;ACT;FIN;IND;PRS;SG;V N;PL;PRT PART ADV 1;GEN;PL;PRO 3;ACT;COND;FIN;SG;V ADV ACT;NFIN;V CONJ NOM;PRO;SG 3;ACT;FIN;IND;PRS;SG;V ACT;NOM;SG;V;V.PTCP _
nyt häntä ei enää huudatuta .	nyt hän ei enää huudatuttaa .	ADV 3;PRO;PRT;SG 3;ACT;FIN;NEG;SG;V PART ACT;FIN;IND;PRS;V _
en usko iällä olevan enää merkitystä .	ei uskoa ikä olla enää merkitys .	1;ACT;FIN;NEG;SG;V ACT;FIN;IND;PRS;V AT+ESS;N;SG ACT;GEN;SG;V;V.PTCP PART N;PRT;SG _
suomesta tuli hotellihintojen halpamaa .	suomi tulla hotellihinta halpamaa .	IN+ABL;PROPN;SG 3;ACT;FIN;IND;PST;SG;V GEN;N;PL N;NOM;SG _
heidän täytyy	he täytyä	3;GEN;PL;PRO 3;ACT;FIN;IND;PRS;SG;V
peruste epäilylle	peruste epäily	N;NOM;SG AT+ALL;N;SG
täsmälleen samoin kävi menestyneimmille pirtun salakuljettajille kieltolaki-suomessa .	täsmälleen samoin käydä menestynyt pirtu salakuljettaja kieltolaki-suomi .	ADV ADV 3;ACT;FIN;IND;PST;SG;V ADJ;AT+ALL;PL;RL GEN;N;SG AT+ALL;N;PL IN+ESS;PROPN;SG _
kiistaa aiheuttanut maanvaihtopäätös syntyi äänin 23-12 .	kiista aiheuttaa maanvaihtopäätös syntyä ääni 23-12 .	N;PRT;SG ACT;NOM;SG;V;V.PTCP N;NOM;SG 3;ACT;FIN;IND;PST;SG;V INS;N;PL NUM _
kaikki kolme suomen kotiottelua näytetään televisiossa .	kaikki kolme suomi kotiottelu näyttää televisio .	DET;NOM NOM;NUM;SG GEN;PROPN;SG N;PRT;SG FIN;IND;PASS;PRS;V IN+ESS;N;SG _
soitan päivittäin ainakin 20 ulkomaanpuhelua .	soittaa päivittäin ainakin 20 ulkomaanpuhelu .	1;ACT;FIN;IND;PRS;SG;V ADV PART NUM N;PRT;SG _
siihen on syynsä	se olla syy	IN+ALL;PRO;SG 3;ACT;FIN;IND;PRS;SG;V N;NOM;PSS3;SG
menestystä ja tasoa mitattiin sillä , tuliko rahaa vai ei .	menestys ja taso mitata se , tulla raha vai ei .	N;PRT;SG CONJ N;PRT;SG FIN;IND;PASS;PST;V AT+ESS;PRO;SG _ 3;ACT;FIN;IND;PST;SG;V N;PRT;SG CONJ 3;ACT;FIN;NEG;SG;V _
- on .	- olla .	_ 3;ACT;FIN;IND;PRS;SG;V _
paviaanit saavat itse kaivella siemenet esiin .	paviaani saada itse kaivella siemen esiin .	N;NOM;PL 3;ACT;FIN;IND;PL;PRS;V ADV ACT;NFIN;V N;NOM;PL ADV _
sanassa kirja	sana kirja	IN+ESS;N;SG N;NOM;SG
vuosi sitten kanssani istui välillä melko arankinoloinen tyttö .	vuosi sitten kanssa istua välillä melko aranoloinen tyttö .	N;NOM;SG ADP ADV;PSS1S 3;ACT;FIN;IND;PST;SG;V ADV PART ADJ;NOM;SG N;NOM;SG _
haluaakohan maija lähteä enää milloinkaan minnekään ?	haluta maija lähteä enää milloinkaan minnekään ?	3;ACT;FIN;IND;PRS;SG;V NOM;PROPN;SG ACT;NFIN;V PART ADV ADV _
niiden , joiden paino vaihteli koko ajan , kuolleisuus oli korkeampi kuin vakaan pysyvästi ylipainoisten ihmisten .	ne , joka paino vaihdella koko aika , kuolleisuus olla korkea kuin vakaa pysyvästi ylipainoinen ihminen .	DET;GEN;PL _ DET;GEN;PL N;NOM;SG 3;ACT;FIN;IND;PST;SG;V ADJ GEN;N;SG _ N;NOM;SG 3;ACT;FIN;IND;PST;SG;V ADJ;CMPR;NOM;SG CONJ ADJ;GEN;SG ADV ADJ;GEN;PL GEN;N;PL _
älä tee sitäkään .	ei tehdä se .	2;ACT;FIN;IMP;NEG;SG;V ACT;FIN;IND;PRS;V PRO;PRT;SG _
sekä käräjä- että hovioikeus katsoivat venekauppojen toteuttavan törkeän petoksen tunnusmerkit .	sekä käräjä- että hovioikeus katsoa venekauppa toteuttaa törkeä petos tunnusmerkki .	CONJ _ CONJ N;NOM;SG 3;ACT;FIN;IND;PL;PST;V GEN;N;PL ACT;GEN;SG;V;V.PTCP ADJ;GEN;SG GEN;N;SG N;NOM;PL _
pelastusarmeijan ruokaa tuhansille helsingissä	pelastusarmeija ruoka tuhat helsinki	GEN;PROPN;SG N;PRT;SG AT+ALL;NUM;PL IN+ESS;PROPN;SG
ensimmäiset 30 metriä lewis selvitti koko finaalijoukosta selvästi hitaimmin ( 3,95 ) .	ensimmäinen 30 metri lewis selvittää koko finaalijoukko selvästi hitaimmin ( 3,95 ) .	ADJ;NOM;PL NUM N;PRT;SG NOM;PROPN;SG 3;ACT;FIN;IND;PST;SG;V ADJ IN+ABL;N;SG ADV ADV;RL _ NUM _ _
schumannin ja dvorákin sellokonsertot kuuluvat siihen musiikin lajiin , jota on aina joskus kuunneltava .	schumann ja dvorák sellokonsertto kuulua se musiikki laji , joka olla aina joskus kuunnella .	GEN;PROPN;SG CONJ GEN;PROPN;SG N;NOM;PL 3;ACT;FIN;IND;PL;PRS;V DET;IN+ALL;SG GEN;N;SG IN+ALL;N;SG _ PRO;PRT;SG 3;ACT;FIN;IND;PRS;SG;V ADV ADV NOM;PASS;SG;V;V.PTCP _
pelkään lentämistä	pelätä lentäminen	1;ACT;FIN;IND;PRS;SG;V N;PRT;SG
