brug den i tynde flager som gratinering af en ovnret eller i tern i salatskålen .	bruge den i tynd flage som gratinering af en ovnret eller i tern i salatskål .	IMP;V 3;ACC;MASC+FEM;PRO;SG ADP ADJ;PL INDF;MASC+FEM;N;PL ADP INDF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG CONJ ADP INDF;N;PL ADP DEF;MASC+FEM;N;SG _
kvinder har i det seneste år kastet deres øjne på kropsduer som skuespillerne patrick swayze ( " ghost " og " point break " ) , richard gere ( " pretty woman " ) og kevin costner ( " danser med ulve " , " jfk " ) - der allesammen ligner pæne drenge med check på tingene .	kvinde have i den sen år kaste deres øje på kropsdue som skuespiller patrick swayze ( " ghost " og " point break " ) , richard gere ( " pretty woman " ) og kevin costner ( " danse med ulv " , " jfk " ) - der allesammen ligne pæn dreng med check på ting .	INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ADP DET;NEUT;SG ADJ;DEF;RL INDF;N;NEUT;SG INDF;PST;SG;V;V.PTCP 3;DET;PSSP INDF;N;NEUT;PL ADP INDF;MASC+FEM;N;PL ADP DEF;MASC+FEM;N;PL PROPN PROPN _ _ PROPN _ CONJ _ PROPN PROPN _ _ _ PROPN PROPN _ _ PROPN PROPN _ _ CONJ PROPN PROPN _ _ ACT;FIN;IND;PRS;V ADP INDF;MASC+FEM;N;PL _ _ _ PROPN _ _ _ PRO _ ACT;FIN;IND;PRS;V ADJ;PL INDF;MASC+FEM;N;PL ADP INDF;N;NEUT;SG ADP DEF;MASC+FEM;N;PL _
det blev sagt så bestemt , at man end ikke diskuterede at udskyde sejladsen .	det blive sige så bestemt , at man end ikke diskutere at udskyde sejlads .	3;ACC;NEUT;PRO;SG ACT;FIN;IND;PST;V INDF;PST;SG;V;V.PTCP ADV ADV _ CONJ MASC+FEM;NOM;PRO ADP ADV ACT;FIN;IND;PST;V PART ACT;NFIN;V DEF;MASC+FEM;N;SG _
det var det , der skulle til for at " tænde " dynamitten , og med john jensen som inspirator begyndte danskerne at udfordre tyskerne på deres banehalvdel - en spillefacon de ikke er vant til i bundesligaen , hvor de plejer at få tid og plads i egen zone .	det være det , der skulle til for at " tænde " dynamit , og med john jensen som inspirator begynde dansker at udfordre tysker på deres banehalvdel - en spillefacon de ikke være vant til i bundesliga , hvor de pleje at få tid og plads i egen zone .	3;ACC;NEUT;PRO;SG ACT;FIN;IND;PST;V 3;ACC;NEUT;PRO;SG _ PRO ACT;FIN;IND;PST;V ADV ADP PART _ ACT;NFIN;V _ DEF;MASC+FEM;N;SG _ CONJ ADP PROPN PROPN ADP INDF;MASC+FEM;N;SG ACT;FIN;IND;PST;V DEF;MASC+FEM;N;PL PART ACT;NFIN;V DEF;MASC+FEM;N;PL ADP 3;DET;PSSP INDF;MASC+FEM;N;SG _ DET;MASC+FEM;SG INDF;MASC+FEM;N;SG 3;NOM;PL;PRO ADV ACT;FIN;IND;PRS;V ADJ;INDF;SG ADP ADP DEF;MASC+FEM;N;SG _ ADV 3;NOM;PL;PRO ACT;FIN;IND;PRS;V PART ACT;NFIN;V INDF;MASC+FEM;N;SG CONJ INDF;MASC+FEM;N;SG ADP ADJ;MASC+FEM;SG INDF;MASC+FEM;N;SG _
- gå med ind lidt , sagde han lavt .	- gå med ind lidt , sige han lavt .	_ IMP;V ADV ADV ADV _ ACT;FIN;IND;PST;V 3;MASC+FEM;NOM;PRO;SG ADV _
præstationer : topfart : 196 km/t. .	præstation : topfart : 196 km/t. .	INDF;MASC+FEM;N;PL _ INDF;MASC+FEM;N;SG _ NUM _ _
det må i sø'mer undskylde , men jeg har fuldkommen glemt aftalen .	det måtte i sø'mer undskylde , men jeg have fuldkommen glemme aftale .	3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V 2;MASC+FEM;NOM;PL;PRO ADV ACT;NFIN;V _ CONJ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADV INDF;PST;SG;V;V.PTCP DEF;MASC+FEM;N;SG _
sejr for alle mormødre	sejr for al mormoder	INDF;MASC+FEM;N;SG ADP ADJ;PL INDF;MASC+FEM;N;PL
" efter næsten 30 år på det private arbejdsmarked var det hårdt , da jeg i april blev afskediget som overassistent fra novenco på grund af nedskæringer .	" efter næsten 30 år på den privat arbejdsmarked være det hård , da jeg i april blive afskedige som overassistent fra novenco på grund af nedskæring .	_ ADP ADV NUM INDF;N;NEUT;PL ADP DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG ACT;FIN;IND;PST;V 3;ACC;NEUT;PRO;SG ADJ;INDF;NEUT;SG _ CONJ 1;MASC+FEM;NOM;PRO;SG ADP INDF;MASC+FEM;N;SG ACT;FIN;IND;PST;V INDF;PST;SG;V;V.PTCP ADP INDF;MASC+FEM;N;SG ADP PROPN ADP INDF;N;NEUT;SG ADP INDF;MASC+FEM;N;PL _
de kunne være winnie og helen , som altid skændes , i " køkkengudens hustru " .	de kunne være winnie og helen , som altid skændes , i " køkkengud hustru " .	3;NOM;PL;PRO ACT;FIN;IND;PST;V ACT;NFIN;V PROPN CONJ PROPN _ PRO ADV ACT;FIN;IND;PRS;V _ ADP _ DEF;GEN;MASC+FEM;N;SG INDF;MASC+FEM;N;SG _ _
sådan er det demokratiske ideal , men i virkeligheden tror jeg , at de fleste vælgere - bortset fra uffe ellemann - føler sig afmægtige , når dette kryds skal sættes , og ikke mindst har gjort det i forbindelse med ef-afstemningen .	sådan være den demokratisk ideal , men i virkelighed tro jeg , at den mange vælger - bortset fra uffe ellemann - føle sig afmægtig , når denne kryds skulle sætte , og ikke mindst have gøre det i forbindelse med ef-afstemning .	ADV ACT;FIN;IND;PRS;V DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG _ CONJ ADP DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PRO;SG _ CONJ DET;PL ADJ;DEF;PL;RL INDF;MASC+FEM;N;PL _ INDF;PST;SG;V;V.PTCP ADP PROPN PROPN _ ACT;FIN;IND;PRS;V 3;ACC;PRO;REFL ADJ;PL _ CONJ DET;NEUT;SG INDF;N;NEUT;SG ACT;FIN;IND;PRS;V NFIN;PASS;V _ CONJ ADV ADV;RL ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP 3;ACC;NEUT;PRO;SG ADP INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG _
ægteskab med en pige på kun 16 år .	ægteskab med en pige på kun 16 år .	INDF;N;NEUT;SG ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP ADV NUM INDF;N;NEUT;PL _
grønsagerne skal have 35-40 minutter .	grønsag skulle have 35-40 minut .	DEF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ACT;NFIN;V NUM INDF;N;NEUT;PL _
du skal nemlig være moster ...	du skulle nemlig være moster ...	2;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADV ACT;NFIN;V INDF;MASC+FEM;N;SG _
han har villet offentliggøre samtlige kilder til socialistførerens martyrhistorie .	han have ville offentliggøre samtlige kilde til socialistfører martyrhistorie .	3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP ACT;NFIN;V ADJ INDF;MASC+FEM;N;PL ADP DEF;GEN;MASC+FEM;N;SG INDF;MASC+FEM;N;SG _
den ene knækkede og den anden er skæv i biddet .	den ene knække og den anden være skæv i bid .	DET;MASC+FEM;SG ADJ ACT;FIN;IND;PST;V CONJ MASC+FEM;PRO;SG MASC+FEM;PRO;SG ACT;FIN;IND;PRS;V ADJ;INDF;MASC+FEM;SG ADP DEF;N;NEUT;SG _
brian sand mindes en anden pudsig episode angående bull terrierens udseende : " i en strøgbutik mødte jeg en lille dreng , der næppe var højere end hunden .	brian sand mindes en anden pudsig episode angående bull terrier udseende : " i en strøgbutik møde jeg en lille dreng , der næppe være høj end hund .	PROPN PROPN ACT;FIN;IND;PRS;V DET;MASC+FEM;SG DET;MASC+FEM;SG ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP _ DEF;GEN;MASC+FEM;N;SG INDF;N;NEUT;SG _ _ ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ACT;FIN;IND;PST;V 1;MASC+FEM;NOM;PRO;SG DET;MASC+FEM;SG ADJ;SG INDF;MASC+FEM;N;SG _ ADV ADV ACT;FIN;IND;PST;V ADJ;CMPR ADP DEF;MASC+FEM;N;SG _
det serbisk dominerede nyhedsbureau tanjug har tidligere rapporteret , at omkring 1.700 artillierigranater er havnet inden for de serbisk dominerede områder inden for et døgn .	den serbisk dominere nyhedsbureau tanjug have tidligere rapportere , at omkring 1.700 artillierigranater være havne inden for den serbisk dominere område inden for en døgn .	DET;NEUT;SG ADV DEF;PST;SG;V;V.PTCP INDF;N;NEUT;SG PROPN ACT;FIN;IND;PRS;V ADV;CMPR INDF;PST;SG;V;V.PTCP _ CONJ ADP NUM _ ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP ADV ADP DET;PL ADV PL;PST;V;V.PTCP INDF;N;NEUT;PL ADV ADP DET;NEUT;SG INDF;N;NEUT;SG _
flere sygehuse til østeuropa	mange sygehus til østeuropa	ADJ;CMPR;PL INDF;N;NEUT;PL ADP PROPN
også ekstraudsendelser i radioavisen opfordrede folk til at holde sig væk .	også ekstraudsendelse i radioavis opfordre folk til at holde sig væk .	ADV INDF;MASC+FEM;N;PL ADP DEF;MASC+FEM;N;SG ACT;FIN;IND;PST;V INDF;N;NEUT;PL ADP PART ACT;NFIN;V 3;ACC;PRO;REFL ADV _
fiat byder på sin kommercielle stand på en danmarks-premiere : den nye minibus talento , en mindre udgave af ducato'en , men alligevel med plads til 10 personer .	fiat byde på sin kommerciel stand på en danmarks-premiere : den ny minibus talento , en lille udgave af ducato , men alligevel med plads til 10 person .	PROPN ACT;FIN;IND;PRS;V ADP 3;DET;MASC+FEM;PSSS;REFL;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _ DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG PROPN _ DET;MASC+FEM;SG ADJ;CMPR INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG _ CONJ ADV ADP INDF;MASC+FEM;N;SG ADP NUM INDF;MASC+FEM;N;PL _
ikke meget gulvplads	ikke meget gulvplads	ADV ADJ;INDF;SG INDF;MASC+FEM;N;SG
hans debut inden for filmbranchen led en krank skæbne .	hans debut inden for filmbranche lide en krank skæbne .	3;DET;PSSS INDF;MASC+FEM;N;SG ADV ADP DEF;MASC+FEM;N;SG ACT;FIN;IND;PST;V DET;MASC+FEM;SG ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG _
" marseille var bare det rene paradis for mig .	" marseille være bare den ren paradis for jeg .	_ PROPN ACT;FIN;IND;PST;V ADV DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG ADP 1;ACC;MASC+FEM;PRO;SG _
" jeg skal jo holde vægt til kampen i morgen ( i dag , red. ) " .	" jeg skulle jo holde vægt til kamp i morgen ( i dag , redaktør ) " .	_ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADV ACT;NFIN;V INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;SG _ ADP INDF;MASC+FEM;N;SG _ INDF;MASC+FEM;N;SG _ _ _
nedsat moms	nedsætte moms	INDF;PST;SG;V;V.PTCP INDF;MASC+FEM;N;SG
den viser , at man sagtens kan tage hånd om sine børnebørn , selv om man er oppe i årene .	den vise , at man sagtens kunne tage hånd om sin barnebarn , selv om man være oppe i år .	3;ACC;MASC+FEM;PRO;SG ACT;FIN;IND;PRS;V _ CONJ MASC+FEM;NOM;PRO ADV ACT;FIN;IND;PRS;V ACT;NFIN;V INDF;MASC+FEM;N;SG ADP 3;DET;PL;PSSS;REFL INDF;N;NEUT;PL _ ADV ADP MASC+FEM;NOM;PRO ACT;FIN;IND;PRS;V ADV ADP DEF;N;NEUT;PL _
- ind imellem bli'r jeg overstresset - og så smutter der en aftale , siger den myreflittige trafikminister .	- ind imellem blive jeg overstresset - og så smutte der en aftale , sige den myreflittig trafikminister .	_ ADV ADV ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PRO;SG ADJ;INDF;SG _ CONJ ADV ACT;FIN;IND;PRS;V ADV DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _ ACT;FIN;IND;PRS;V DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG _
afstemningen begynder mandag og slutter onsdag i næste uge .	afstemning begynde mandag og slutte onsdag i næste uge .	DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V INDF;MASC+FEM;N;SG CONJ ACT;FIN;IND;PRS;V INDF;MASC+FEM;N;SG ADP ADJ INDF;MASC+FEM;N;SG _
således nærmer vi os ét af de nyere danske mærker , der også fortæller en historie om det danske folk og dets idealer .	således nærme vi vi en af den ny dansk mærke , der også fortælle en historie om den dansk folk og dets ideal .	ADV ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PL;PRO 1;ACC;MASC+FEM;PL;PRO NEUT;PRO;SG ADP DET;PL ADJ;CMPR ADJ;PL INDF;N;NEUT;PL _ PRO ADV ACT;FIN;IND;PRS;V DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG CONJ 3;DET;PSSS INDF;N;NEUT;PL _
foto : jan knudsen .	foto : jan knudsen .	INDF;N;NEUT;SG _ PROPN PROPN _
efter 14 dage med chlorella mærkede jeg en indre varme - særlig i hofterne - og smerterne blev mindre alvorlige .	efter 14 dag med chlorella mærke jeg en indre varme - særlig i hofte - og smerte blive mindre alvorlig .	ADP NUM INDF;MASC+FEM;N;PL ADP PROPN ACT;FIN;IND;PST;V 1;MASC+FEM;NOM;PRO;SG DET;MASC+FEM;SG ADJ INDF;MASC+FEM;N;SG _ ADV ADP DEF;MASC+FEM;N;PL _ CONJ DEF;MASC+FEM;N;PL ACT;FIN;IND;PST;V ADV;CMPR ADJ;PL _
de store , forkalkede kar kan udvides , idet man fører en ballon ned i dem og puster den op på de snævre steder .	den stor , forkalke kar kunne udvide , idet man føre en ballon ned i de og puste den op på den snæver sted .	DET;PL ADJ;PL _ PL;PST;V;V.PTCP INDF;N;NEUT;PL ACT;FIN;IND;PRS;V NFIN;PASS;V _ CONJ MASC+FEM;NOM;PRO ACT;FIN;IND;PRS;V DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADV ADP 3;ACC;PL;PRO CONJ ACT;FIN;IND;PRS;V 3;ACC;MASC+FEM;PRO;SG ADV ADP DET;PL ADJ;PL INDF;N;NEUT;PL _
samlingen af hans artikler og foredrag fra de sidste ti år røber , at verden savner den ægte vare , romanen .	samling af hans artikel og foredrag fra den sidste ti år røbe , at verden savne den ægte vare , roman .	DEF;MASC+FEM;N;SG ADP 3;DET;PSSS INDF;MASC+FEM;N;PL CONJ INDF;N;NEUT;PL ADP DET;PL ADJ NUM INDF;N;NEUT;PL ACT;FIN;IND;PRS;V _ CONJ INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V DET;MASC+FEM;SG ADJ INDF;MASC+FEM;N;SG _ DEF;MASC+FEM;N;SG _
nøgternt vurderet vender lyngbyspillerne næste uge hjem med nogle sportslige skrammer fra " sammenstødet " med glasgow rangers' skotter på ibrox .	nøgternt vurdere vende lyngbyspiller næste uge hjem med nogen sportslig skramme fra " sammenstød " med glasgow rangers skotte på ibrox .	ADV INDF;PST;SG;V;V.PTCP ACT;FIN;IND;PRS;V DEF;MASC+FEM;N;PL ADJ INDF;MASC+FEM;N;SG ADV ADP DET;PL ADJ;PL INDF;MASC+FEM;N;PL ADP _ DEF;N;NEUT;SG _ ADP PROPN GEN;PROPN INDF;MASC+FEM;N;PL ADP PROPN _
nu må vi tænke tingene seriøst igennem med det formål , at få ændret de snart otte år gamle tillægskontrakter , som giver ledelsen ret til at handle , som den har gjort .	nu måtte vi tænke ting seriøst igennem med den formål , at få ændre den snart otte år gammel tillægskontrakt , som give ledelse ret til at handle , som den have gøre .	ADV ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PL;PRO ACT;NFIN;V DEF;MASC+FEM;N;PL ADV ADV ADP DET;NEUT;SG INDF;N;NEUT;SG _ PART ACT;NFIN;V INDF;PST;SG;V;V.PTCP DET;PL ADV NUM INDF;N;NEUT;PL ADJ;PL INDF;MASC+FEM;N;PL _ PRO ACT;FIN;IND;PRS;V DEF;MASC+FEM;N;SG INDF;MASC+FEM;N;SG ADP PART ACT;NFIN;V _ ADP 3;ACC;MASC+FEM;PRO;SG ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP _
erfaringerne fra dengang tyder samtidig på , at industriens beskæftigelse først begyndte at stige året efter , at den økonomiske vækst var kommet i gang .	erfaring fra dengang tyde samtidig på , at industri beskæftigelse først begynde at stige år efter , at den økonomisk vækst være komme i gang .	DEF;MASC+FEM;N;PL ADP ADV ACT;FIN;IND;PRS;V ADV ADP _ CONJ DEF;GEN;MASC+FEM;N;SG INDF;MASC+FEM;N;SG ADV ACT;FIN;IND;PST;V PART ACT;NFIN;V DEF;N;NEUT;SG ADP _ CONJ DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG ACT;FIN;IND;PST;V INDF;PST;SG;V;V.PTCP ADP INDF;MASC+FEM;N;SG _
men senere flyttede familien til en større villa i mere luftige omgivelser længere væk fra downtown .	men senere flytte familie til en stor villa i mere luftig omgivelse længe væk fra downtown .	CONJ ADV;CMPR ACT;FIN;IND;PST;V DEF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG ADJ;CMPR INDF;MASC+FEM;N;SG ADP ADV;CMPR ADJ;PL INDF;MASC+FEM;N;PL ADV;CMPR ADV ADP _ _
hun kan smile , fordi hun har draget ved lære af fortiden .	hun kunne smile , fordi hun have drage ved lære af fortid .	3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ACT;NFIN;V _ CONJ 3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP ADP INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG _
endelig har succes'er som " mit afrika " , " danser med ulve " og den danske " dansen med regitze " vist , at der er et voksent publikum , som længes tilbage til biografernes illustrerede drømme .	endelig have succes som " min afrika " , " danse med ulv " og den dansk " dans med regitze " vise , at der være en voksen publikum , som længes tilbage til biograf illustrere drøm .	ADV ACT;FIN;IND;PRS;V INDF;MASC+FEM;N;PL ADP _ 1;DET;NEUT;PSSS;SG PROPN _ _ _ ACT;FIN;IND;PRS;V ADP INDF;MASC+FEM;N;PL _ CONJ DET;MASC+FEM;SG ADJ;DEF;SG _ DEF;MASC+FEM;N;SG ADP PROPN _ INDF;PST;SG;V;V.PTCP _ CONJ ADV ACT;FIN;IND;PRS;V DET;NEUT;SG ADJ;INDF;NEUT;SG INDF;N;NEUT;SG _ PRO ACT;FIN;IND;PRS;V ADV ADP DEF;GEN;MASC+FEM;N;PL PL;PST;V;V.PTCP INDF;MASC+FEM;N;PL _
jens chr. birch , kommunaldirektør , forlader 1. oktober rødovre kommune for at blive administrerende direktør for forsikringsselskabet forenede gruppeliv .	jens christian birch , kommunaldirektør , forlade 1. oktober rødovre kommune for at blive administrere direktør for forsikringsselskab forene gruppeliv .	PROPN PROPN PROPN _ INDF;MASC+FEM;N;SG _ ACT;FIN;IND;PRS;V ADJ INDF;MASC+FEM;N;SG PROPN INDF;MASC+FEM;N;SG ADP PART ACT;NFIN;V PRS;V;V.PTCP INDF;MASC+FEM;N;SG ADP DEF;N;NEUT;SG PL;PST;V;V.PTCP INDF;N;NEUT;PL _
denne gang på godt engelsk , som er det sprog , den udfrittende danske journalist bedst kan gøre sig forståelig på .	denne gang på god engelsk , som være den sprog , den udfritte dansk journalist bedst kunne gøre sig forståelig på .	DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP ADJ;INDF;NEUT;SG INDF;N;NEUT;SG _ ADP ACT;FIN;IND;PRS;V DET;NEUT;SG INDF;N;NEUT;SG _ DET;MASC+FEM;SG PRS;V;V.PTCP ADJ;DEF;SG INDF;MASC+FEM;N;SG ADV;RL ACT;FIN;IND;PRS;V ACT;NFIN;V 3;ACC;PRO;REFL ADJ;INDF;MASC+FEM;SG ADP _
" ja , grundlæggende vil de gerne være i god form , " svarer bettina borg .	" ja , grundlæggende ville de gerne være i god form , " svare bettina borg .	_ INTJ _ ADV ACT;FIN;IND;PRS;V 3;NOM;PL;PRO ADV ACT;NFIN;V ADP ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG _ _ ACT;FIN;IND;PRS;V PROPN PROPN _
og det skal man bare vide , " siger jytte hilden .	og det skulle man bare vide , " sige jytte hilden .	CONJ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V MASC+FEM;NOM;PRO ADV ACT;NFIN;V _ _ ACT;FIN;IND;PRS;V PROPN PROPN _
en kultivator kan også fås med påsvejset lugejern til genstridigt ukrudt .	en kultivator kunne også få med påsvejset lugejern til genstridig ukrudt .	DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADV NFIN;PASS;V ADP ADJ;INDF;SG INDF;N;NEUT;SG ADP ADJ;INDF;NEUT;SG INDF;N;NEUT;SG _
jeg har aftaler helt frem til februar næste år .	jeg have aftale helt frem til februar næste år .	1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V INDF;MASC+FEM;N;PL ADV ADV ADP INDF;MASC+FEM;N;SG ADJ INDF;N;NEUT;SG _
en varebil har ikke et bagagerum	en varebil have ikke en bagagerum	DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADV DET;NEUT;SG INDF;N;NEUT;SG
" ikke-skyldig , ikke ...	" ikke-skyldig , ikke ...	_ ADJ;INDF;MASC+FEM;SG _ ADV _
- hvorfor hedder den pjuske ? spørger manden .	- hvorfor hedde den pjuske ? spørge mand .	_ ADV ACT;FIN;IND;PRS;V 3;ACC;MASC+FEM;PRO;SG PROPN _ ACT;FIN;IND;PRS;V DEF;MASC+FEM;N;SG _
i stedet slog club brugge til .	i sted slå club brugge til .	ADP DEF;N;NEUT;SG ACT;FIN;IND;PST;V PROPN PROPN ADV _
forhandlingsresultatet på 5,4 pct. svarer nogenlunde til det kompromisforslag , som en forligsmand for to uger siden lagde på bordet .	forhandlingsresultat på 5,4 procent svare nogenlunde til den kompromisforslag , som en forligsmand for to uge siden lægge på bord .	DEF;N;NEUT;SG ADP NUM INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ADV ADP DET;NEUT;SG INDF;N;NEUT;SG _ PRO DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP NUM INDF;MASC+FEM;N;PL ADV ACT;FIN;IND;PST;V ADP DEF;N;NEUT;SG _
og gerne bider tænderne sammen for at bevise det .	og gerne bide tand sammen for at bevise det .	CONJ ADV ACT;FIN;IND;PRS;V DEF;MASC+FEM;N;PL ADV ADP PART ACT;NFIN;V 3;ACC;NEUT;PRO;SG _
nedgangen i vækst følger efter et tilsvarende åremål med stigende vækst .	nedgang i vækst følge efter en tilsvarende åremål med stige vækst .	DEF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADP DET;NEUT;SG ADJ INDF;N;NEUT;SG ADP PRS;V;V.PTCP INDF;MASC+FEM;N;SG _
knæet er også årsag til , at dronningen endnu ikke ved , om hun kan gennemføre sin årlige skitur i norge .	knæ være også årsag til , at dronning endnu ikke vide , om hun kunne gennemføre sin årlig skitur i norge .	DEF;N;NEUT;SG ACT;FIN;IND;PRS;V ADV INDF;MASC+FEM;N;SG ADP _ CONJ DEF;MASC+FEM;N;SG ADV ADV ACT;FIN;IND;PRS;V _ CONJ 3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ACT;NFIN;V 3;DET;MASC+FEM;PSSS;REFL;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG ADP PROPN _
eller med andre ord , at det kan være rigtigt at indrette opgave- og byrdefordelingen af den offentlige sektor i hovedstadsområdet målrettet efter dette områdes udfordringer og mindre efter den opfattelse , at samme vilkår og forhold også skal gælde for ærøskøbing .	eller med anden ord , at det kunne være rigtig at indrette opgave- og byrdefordeling af den offentlig sektor i hovedstadsområde målrettet efter denne område udfordring og mindre efter den opfattelse , at samme vilkår og forhold også skulle gælde for ærøskøbing .	CONJ ADP DET;PL INDF;N;NEUT;PL _ CONJ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ACT;NFIN;V ADJ;INDF;NEUT;SG PART ACT;NFIN;V _ CONJ DEF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG ADP DEF;N;NEUT;SG ADV ADP DET;NEUT;SG GEN;INDF;N;NEUT;SG INDF;MASC+FEM;N;PL CONJ ADV;CMPR ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _ CONJ ADJ INDF;N;NEUT;PL CONJ INDF;N;NEUT;PL ADV ACT;FIN;IND;PRS;V ACT;NFIN;V ADP PROPN _
noget i ærmet	nogen i ærme	NEUT;PRO;SG ADP DEF;N;NEUT;SG
" dronning i 20 år " markerede , som titlen antyder , dronningens jubilæum .	" dronning i 20 år " markere , som titel antyde , dronning jubilæum .	_ INDF;MASC+FEM;N;SG ADP NUM INDF;N;NEUT;PL _ ACT;FIN;IND;PST;V _ PRO DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V _ DEF;GEN;MASC+FEM;N;SG INDF;N;NEUT;SG _
l. p.	l. p.	PROPN PROPN
det er ligeledes interessant , hvad regeringen vil med redegørelsen i det udenrigspolitiske nævn : om den vil søge at lave en dækmanøvre , eller om det er begyndelsen til en egentlig gennemgang af , hvad fet går og laver , " siger pelle voigt .	det være ligeledes interessant , hvad regering ville med redegørelse i den udenrigspolitisk nævn : om den ville søge at lave en dækmanøvre , eller om det være begyndelse til en egentlig gennemgang af , hvad fet gå og lave , " sige pelle voigt .	3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ADV ADJ;INDF;SG _ PRO;SG DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADP DEF;MASC+FEM;N;SG ADP DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG _ CONJ 3;ACC;MASC+FEM;PRO;SG ACT;FIN;IND;PRS;V ACT;NFIN;V PART ACT;NFIN;V DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _ CONJ CONJ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V DEF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP _ PRO;SG PROPN ACT;FIN;IND;PRS;V CONJ ACT;FIN;IND;PRS;V _ _ ACT;FIN;IND;PRS;V PROPN PROPN _
stk. 2	stykke 2	INDF;N;NEUT;SG NUM
debatten om udlændinge i danmark må ikke føre til fremmedhad og racisme .	debat om udlænding i danmark måtte ikke føre til fremmedhad og racisme .	DEF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;PL ADP PROPN ACT;FIN;IND;PRS;V ADV ACT;NFIN;V ADP INDF;N;NEUT;SG CONJ INDF;MASC+FEM;N;SG _
