catherine of russia was also very satisfied .	catherine of russia be also very satisfied .	PROPN;SG ADP PROPN;SG 3;FIN;IND;PST;SG;V ADV ADV ADJ _
according to le figaro , this government plan could free up 42 million euros , of which 15.5 million would go towards security .	accord to le figaro , this government plan could free up 42 million euro , of which 15.5 million would go towards security .	V;V.MSDR ADP PROPN;SG PROPN;SG _ DET;SG N;SG N;SG FIN;V NFIN;V ADP NUM NUM N;PL _ ADP PRO NUM NUM FIN;V NFIN;V ADP N;SG _
the move highlighted the company 's desire for users to start thinking of its products as more than just productivity tools .	the move highlight the company 's desire for user to start think of its product as more than just productivity tool .	DEF;DET N;SG FIN;IND;PST;V DEF;DET N;SG PART N;SG ADP N;PL PART NFIN;V V;V.MSDR ADP 3;NEUT;PRO;SG N;PL ADP ADJ;CMPR ADP ADV N;SG N;PL _
france integrated the economy of cameroun with that of france and improved the infrastructure with capital investments and skilled workers , modifying the system of forced labour .	france integrate the economy of cameroun with that of france and improve the infrastructure with capital investment and skilled worker , modify the system of force labour .	PROPN;SG FIN;IND;PST;V DEF;DET N;SG ADP PROPN;SG ADP PRO;SG ADP PROPN;SG CONJ FIN;IND;PST;V DEF;DET N;SG ADP N;SG N;PL CONJ ADJ N;PL _ V;V.MSDR DEF;DET N;SG ADP PST;V;V.PTCP N;SG _
in june 2012 , the icelandic band sigur rós released a video for the song " fjögur píanó " , starring labeouf , in which he appears nude .	in june 2012 , the icelandic band sigur rós release a video for the song " fjögur píanó " , star labeouf , in which he appear nude .	ADP PROPN;SG NUM _ DEF;DET ADJ N;SG PROPN;SG PROPN;SG FIN;IND;PST;V DET;INDF N;SG ADP DEF;DET N;SG _ PROPN;SG PROPN;SG _ _ V;V.MSDR PROPN;SG _ ADP PRO 3;MASC;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ _
but the impact of hispania in the newcomers was also big .	but the impact of hispania in the newcomer be also big .	CONJ DEF;DET N;SG ADP PROPN;SG ADP DEF;DET N;PL 3;FIN;IND;PST;SG;V ADV ADJ _
césar was personally informed of pompey 's actions by curio , who at that time had finished his term in office .	césar be personally inform of pompey 's action by curio , who at that time have finish he term in office .	PROPN;SG 3;FIN;IND;PST;SG;V ADV PST;V;V.PTCP ADP PROPN;SG PART N;PL ADP PROPN;SG _ PRO ADP DET;SG N;SG FIN;IND;PST;V PST;V;V.PTCP 3;MASC;PRO;SG N;SG ADP N;SG _
he was utterly gracious and took it like a man , i am beyond furious .	he be utterly gracious and take it like a man , i be beyond furious .	3;MASC;NOM;PRO;SG 3;FIN;IND;PST;SG;V ADV ADJ CONJ FIN;IND;PST;V 3;ACC;NEUT;PRO;SG ADP DET;INDF N;SG _ 1;NOM;PRO;SG 1;FIN;IND;PRS;SG;V ADP ADJ _
agricultural land can actually suffer from the destruction of the surrounding landscape .	agricultural land can actually suffer from the destruction of the surrounding landscape .	ADJ N;SG FIN;V ADV NFIN;V ADP DEF;DET N;SG ADP DEF;DET ADJ N;SG _
one expects a bump from the booming real estate market and increasing federal expenditures .	one expect a bump from the booming real estate market and increase federal expenditure .	PRO 3;FIN;IND;PRS;SG;V DET;INDF N;SG ADP DEF;DET ADJ ADJ N;SG N;SG CONJ V;V.MSDR ADJ N;PL _
the intervention is potentially the most far - reaching by beijing since the 1997 handover of hong kong from the uk .	the intervention be potentially the most far - reaching by beijing since the 1997 handover of hong kong from the uk .	DEF;DET N;SG 3;FIN;IND;PRS;SG;V ADV DEF;DET ADV ADV _ V;V.MSDR ADP PROPN;SG ADP DEF;DET NUM N;SG ADP PROPN;SG PROPN;SG ADP DEF;DET PROPN;SG _
artists reach people at their heart ; it ’s the only time we meet in one place and put our differences aside .	artist reach people at they heart ; it ’s the only time we meet in one place and put we difference aside .	N;PL FIN;IND;PRS;V N;PL ADP 3;PL;PRO N;SG _ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V DEF;DET ADJ N;SG 1;NOM;PL;PRO FIN;IND;PRS;V ADP NUM N;SG CONJ FIN;IND;PRS;V 1;PL;PRO N;PL ADV _
cotton was born on october 31 , 1832 , in a village near sunderland .	cotton be bear on october 31 , 1832 , in a village near sunderland .	PROPN;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP PROPN;SG NUM _ NUM _ ADP DET;INDF N;SG ADP PROPN;SG _
surprising as it may seem , even acid rain clouds can have a silver lining .	surprise as it may seem , even acid rain cloud can have a silver lining .	V;V.MSDR CONJ 3;NEUT;NOM;PRO;SG FIN;V NFIN;V _ ADV N;SG N;SG N;PL FIN;V NFIN;V DET;INDF N;SG N;SG _
according to christian belief , a grave which had been embedded in the chalkstone was the last resting place of jesus .	accord to christian belief , a grave which have be embed in the chalkstone be the last resting place of jesus .	V;V.MSDR ADP ADJ N;SG _ DET;INDF N;SG PRO FIN;IND;PST;V PST;V;V.PTCP PST;V;V.PTCP ADP DEF;DET N;SG 3;FIN;IND;PST;SG;V DEF;DET ADJ SG;V N;SG ADP PROPN;SG _
after all , our organizational performance is seldom measured in terms of how safe we are or how many rules we follow .	after all , we organizational performance be seldom measure in term of how safe we be or how many rule we follow .	ADP DET _ 1;PL;PRO ADJ N;SG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP ADP N;PL CONJ ADV ADJ 1;NOM;PL;PRO FIN;IND;PRS;V CONJ ADV ADJ N;PL 1;NOM;PL;PRO FIN;IND;PRS;V _
you have to stand up to that and i would rather someone ran at me rather than round me .	you have to stand up to that and i would rather someone run at i rather than round i .	2;NOM;PRO FIN;IND;PRS;V PART NFIN;V ADP ADP PRO;SG CONJ 1;NOM;PRO;SG FIN;V NFIN;V N;SG FIN;IND;PST;V ADP 1;ACC;PRO;SG ADV ADP ADP 1;ACC;PRO;SG _
this clause included the time taken to travel to clients ' homes in working hours .	this clause include the time take to travel to client ' home in work hour .	DET;SG N;SG FIN;IND;PST;V DEF;DET N;SG PST;V;V.PTCP PART NFIN;V ADP N;PL PART N;PL ADP V;V.MSDR N;PL _
buried 100 meters ( 328 feet ) underground , the pyongyang metro is one of the deepest commuter systems in the world .	bury 100 meter ( 328 foot ) underground , the pyongyang metro be one of the deepest commuter system in the world .	PST;V;V.PTCP NUM N;PL _ NUM N;PL _ ADV _ DEF;DET PROPN;SG N;SG 3;FIN;IND;PRS;SG;V NUM ADP DEF;DET ADJ;RL N;SG N;PL ADP DEF;DET N;SG _
to avoid experiencing a similar dilemma with jasmine , the filmmakers ultimately decided to have the princess animated entirely at one studio .	to avoid experience a similar dilemma with jasmine , the filmmaker ultimately decide to have the princess animate entirely at one studio .	PART NFIN;V V;V.MSDR DET;INDF ADJ N;SG ADP PROPN;SG _ DEF;DET N;PL ADV FIN;IND;PST;V PART NFIN;V DEF;DET N;SG PST;V;V.PTCP ADV ADP NUM N;SG _
the money invested in premium bonds , and in other national savings & investments accounts , is used to help fund government spending .	the money invest in premium bond , and in other national savings & investment account , be use to help fund government spending .	DEF;DET N;SG PST;V;V.PTCP ADP ADJ N;PL _ CONJ ADP ADJ ADJ PL;PROPN CONJ PL;PROPN N;PL _ 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PART NFIN;V NFIN;V N;SG N;SG _
if a turkish employee quits , then the turkish work councils come .	if a turkish employee quit , then the turkish work council come .	CONJ DET;INDF ADJ N;SG 3;FIN;IND;PRS;SG;V _ ADV DEF;DET ADJ N;SG N;PL FIN;IND;PRS;V _
jin ping mei , published in 1610 , although incorporating earlier material , marks the trend toward independent composition and concern with psychology .	jin ping mei , publish in 1610 , although incorporate earlier material , mark the trend toward independent composition and concern with psychology .	PROPN;SG PROPN;SG PROPN;SG _ PST;V;V.PTCP ADP NUM _ CONJ V;V.MSDR ADJ;CMPR N;SG _ 3;FIN;IND;PRS;SG;V DEF;DET N;SG ADP ADJ N;SG CONJ N;SG ADP N;SG _
investments in this area were up by 6 % in 2015 to $ 221bn .	investment in this area be up by 6 % in 2015 to $ 221bn .	N;PL ADP DET;SG N;SG FIN;IND;PST;V ADV ADP NUM SG ADP NUM ADP _ NUM _
the executive branch consists of a minister of state as the head of government , who presides over a five - member council of government .	the executive branch consist of a minister of state as the head of government , who preside over a five - member council of government .	DEF;DET ADJ N;SG 3;FIN;IND;PRS;SG;V ADP DET;INDF N;SG ADP N;SG ADP DEF;DET N;SG ADP N;SG _ PRO 3;FIN;IND;PRS;SG;V ADP DET;INDF ADJ _ N;SG N;SG ADP N;SG _
failing health reduced hitchcock 's output during the last two decades of his life .	fail health reduce hitchcock 's output during the last two decade of he life .	V;V.MSDR N;SG FIN;IND;PST;V PROPN;SG PART N;SG ADP DEF;DET ADJ NUM N;PL ADP 3;MASC;PRO;SG N;SG _
in 2003 , he dominated in the points standings and leading the last 33 of 36 races and became the 2003 nascar winston cup champion , the last driver to ever hold that title .	in 2003 , he dominate in the point standing and lead the last 33 of 36 race and become the 2003 nascar winston cup champion , the last driver to ever hold that title .	ADP NUM _ 3;MASC;NOM;PRO;SG FIN;IND;PST;V ADP DEF;DET N;PL N;PL CONJ V;V.MSDR DEF;DET ADJ NUM ADP NUM N;PL CONJ FIN;IND;PST;V DEF;DET NUM PROPN;SG PROPN;SG N;SG N;SG _ DEF;DET ADJ N;SG PART ADV NFIN;V DET;SG N;SG _
lamarr 's earliest inventions include an improved traffic stoplight and a tablet that would dissolve in water to create a carbonated drink .	lamarr 's earliest invention include a improved traffic stoplight and a tablet that would dissolve in water to create a carbonated drink .	PROPN;SG PART ADJ;RL N;PL FIN;IND;PRS;V DET;INDF ADJ N;SG N;SG CONJ DET;INDF N;SG PRO FIN;V NFIN;V ADP N;SG PART NFIN;V DET;INDF ADJ N;SG _
the multi-ethnic achaemenid army possessed many soldiers from the balkans .	the multi-ethnic achaemenid army possess many soldier from the balkans .	DEF;DET ADJ ADJ N;SG FIN;IND;PST;V ADJ N;PL ADP DEF;DET PL;PROPN _
a telltale of this meteoritic material will likely be high levels of the element iridium .	a telltale of this meteoritic material will likely be high level of the element iridium .	DET;INDF N;SG ADP DET;SG ADJ N;SG FIN;V ADV NFIN;V ADJ N;PL ADP DEF;DET N;SG N;SG _
the ottoman empire and russia were denied permission to keep their war fleet in the black sea .	the ottoman empire and russia be deny permission to keep they war fleet in the black sea .	DEF;DET PROPN;SG PROPN;SG CONJ PROPN;SG FIN;IND;PST;V PST;V;V.PTCP N;SG PART NFIN;V 3;PL;PRO N;SG N;SG ADP DEF;DET PROPN;SG PROPN;SG _
seagal made headlines when he described russia 's actions in crimea , which it annexed in 2014 , as " very reasonable " .	seagal make headline when he describe russia 's action in crimea , which it annex in 2014 , as " very reasonable " .	PROPN;SG FIN;IND;PST;V N;PL ADV 3;MASC;NOM;PRO;SG FIN;IND;PST;V PROPN;SG PART N;PL ADP PROPN;SG _ DET 3;NEUT;NOM;PRO;SG FIN;IND;PST;V ADP NUM _ ADP _ ADV ADJ _ _
among them is the former cloister from the abbey church of st. peter and paul .	among they be the former cloister from the abbey church of st. peter and paul .	ADP 3;ACC;PL;PRO 3;FIN;IND;PRS;SG;V DEF;DET ADJ N;SG ADP DEF;DET N;SG N;SG ADP PROPN;SG PROPN;SG CONJ PROPN;SG _
his official biography also claims that kim composed six operas and enjoys staging elaborate musicals .	he official biography also claim that kim compose six opera and enjoy stage elaborate musical .	3;MASC;PRO;SG ADJ N;SG ADV 3;FIN;IND;PRS;SG;V CONJ PROPN;SG FIN;IND;PST;V NUM N;PL CONJ 3;FIN;IND;PRS;SG;V V;V.MSDR ADJ N;PL _
first one of the yazidi women started started crying , then one of her friends .	first one of the yazidi woman start start cry , then one of she friend .	ADV NUM ADP DEF;DET PROPN;SG N;PL FIN;IND;PST;V FIN;IND;PST;V V;V.MSDR _ ADV NUM ADP 3;FEM;PRO;SG N;PL _
the unions have been very combative and on several occasions have called for the repeal of the legislation that fátima báñez is proudest of .	the union have be very combative and on several occasion have call for the repeal of the legislation that fátima báñez be proudest of .	DEF;DET N;PL FIN;IND;PRS;V PST;V;V.PTCP ADV ADJ CONJ ADP ADJ N;PL FIN;IND;PRS;V PST;V;V.PTCP ADP DEF;DET N;SG ADP DEF;DET N;SG PRO PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V ADJ;RL ADP _
during the 2010 general election , the labor party was able to win all seven voting districts .	during the 2010 general election , the labor party be able to win all seven voting district .	ADP DEF;DET NUM ADJ N;SG _ DEF;DET PROPN;SG PROPN;SG 3;FIN;IND;PST;SG;V ADJ PART NFIN;V DET NUM N;SG N;PL _
“ while much of the digital transition is unprecedented in the united states , the peaceful transition of power is not , ” obama special assistant kori schulman wrote in a blog post monday .	“ while much of the digital transition be unprecedented in the united state , the peaceful transition of power be not , ” obama special assistant kori schulman write in a blog post monday .	_ CONJ ADJ ADP DEF;DET ADJ N;SG 3;FIN;IND;PRS;SG;V ADJ ADP DEF;DET PROPN;SG PL;PROPN _ DEF;DET ADJ N;SG ADP N;SG 3;FIN;IND;PRS;SG;V ADV;NEG _ _ PROPN;SG ADJ N;SG PROPN;SG PROPN;SG FIN;IND;PST;V ADP DET;INDF N;SG N;SG PROPN;SG _
this was by boat from continental europe .	this be by boat from continental europe .	PRO;SG 3;FIN;IND;PST;SG;V ADP N;SG ADP ADJ PROPN;SG _
christian churches in northwestern europe and ukraine often used willow branches in place of palms in the ceremonies on palm sunday .	christian church in northwestern europe and ukraine often use willow branch in place of palm in the ceremony on palm sunday .	ADJ N;PL ADP ADJ PROPN;SG CONJ PROPN;SG ADV FIN;IND;PST;V N;SG N;PL ADP N;SG ADP N;PL ADP DEF;DET N;PL ADP N;SG PROPN;SG _
rona developed an enhanced method of preparing polonium sources and producing alpha - emissions .	rona develop a enhance method of prepare polonium source and produce alpha - emissions .	PROPN;SG FIN;IND;PST;V DET;INDF PST;V;V.PTCP N;SG CONJ V;V.MSDR N;SG N;PL CONJ V;V.MSDR N;SG _ N;PL _
" i 'm going to jail either way , hope it was worth it . "	" i be go to jail either way , hope it be worth it . "	_ 1;NOM;PRO;SG FIN;IND;PRS;V PRS;V;V.PTCP ADP N;SG DET N;SG _ FIN;IND;PRS;V 3;NEUT;NOM;PRO;SG 3;FIN;IND;PST;SG;V ADJ 3;ACC;NEUT;PRO;SG _ _
london ’s landmark south bank tower commissioned interior designer rachel winham to design the show apartment .	london ’s landmark south bank tower commission interior designer rachel winham to design the show apartment .	PROPN;SG PART N;SG ADJ N;SG N;SG FIN;IND;PST;V N;SG N;SG PROPN;SG PROPN;SG PART NFIN;V DEF;DET N;SG N;SG _
to draw a game you have dominated is easy to brush off , but to do so three times is a row suggests a weakness .	to draw a game you have dominate be easy to brush off , but to do so three time is a row suggest a weakness .	PART NFIN;V DET;INDF N;SG 2;NOM;PRO FIN;IND;PRS;V PST;V;V.PTCP 3;FIN;IND;PRS;SG;V ADJ PART NFIN;V ADP _ CONJ PART NFIN;V ADV NUM N;PL ADP DET;INDF N;SG 3;FIN;IND;PRS;SG;V DET;INDF N;SG _
in hong kong 's high court , two years later , jutting appeared largely composed .	in hong kong 's high court , two year later , jutting appear largely composed .	ADP PROPN;SG PROPN;SG PART ADJ N;SG _ NUM N;PL ADV _ PROPN;SG FIN;IND;PST;V ADV ADJ _
in 2010 , the foundation released a typeset edition of “ zettel ’s traum , ” removing the bar to entry for those who balked at the draft - like feel of the photo - offset .	in 2010 , the foundation release a typeset edition of “ zettel ’s traum , ” remove the bar to entry for those who balk at the draft - like feel of the photo - offset .	ADP NUM _ DEF;DET N;SG FIN;IND;PST;V DET;INDF ADJ N;SG ADP _ _ _ _ _ _ V;V.MSDR DEF;DET N;SG ADP N;SG ADP PL;PRO PRO FIN;IND;PST;V ADP DEF;DET N;SG _ ADJ N;SG ADP DEF;DET N;SG _ N;SG _
later , when augustus founded the roman empire , the romans referred to the mediterranean as mare nostrum ( " our sea " ) .	later , when augustus found the roman empire , the romans refer to the mediterranean as mare nostrum ( " we sea " ) .	ADV _ ADV PROPN;SG FIN;IND;PST;V DEF;DET ADJ N;SG _ DEF;DET PL;PROPN FIN;IND;PST;V ADP DEF;DET PROPN;SG ADP _ _ _ _ 1;PL;PRO N;SG _ _ _
as the hysteria of the 2016 presidential election intensifies , a more troubling threat than bullshit preoccupies karel .	as the hysteria of the 2016 presidential election intensify , a more troubling threat than bullshit preoccupy karel .	CONJ DEF;DET N;SG ADP DEF;DET NUM ADJ N;SG 3;FIN;IND;PRS;SG;V _ DET;INDF ADV ADJ N;SG ADP N;SG 3;FIN;IND;PRS;SG;V PROPN;SG _
as of august 2015 , kesha has released little information about her upcoming third studio album .	as of august 2015 , kesha have release little information about she upcoming third studio album .	ADP ADP PROPN;SG NUM _ PROPN;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADJ N;SG ADP 3;FEM;PRO;SG ADJ ADJ N;SG N;SG _
he chose not to seek a third term in the following election cycle .	he choose not to seek a third term in the follow election cycle .	3;MASC;NOM;PRO;SG FIN;IND;PST;V NEG;PART PART NFIN;V DET;INDF ADJ N;SG ADP DEF;DET V;V.MSDR N;SG N;SG _
voting has , in the vernacular of terror , become the new soft target .	voting have , in the vernacular of terror , become the new soft target .	N;SG 3;FIN;IND;PRS;SG;V _ ADP DEF;DET N;SG ADP N;SG _ NFIN;V DEF;DET ADJ ADJ N;SG _
“ superheroes are outside of human experience and so is this , so i treated it like a drama , ” zimmer says .	“ superhero be outside of human experience and so be this , so i treat it like a drama , ” zimmer say .	_ N;PL FIN;IND;PRS;V ADP ADP ADJ N;SG CONJ ADV 3;FIN;IND;PRS;SG;V PRO;SG _ ADV 1;NOM;PRO;SG FIN;IND;PST;V 3;ACC;NEUT;PRO;SG ADP DET;INDF N;SG _ _ PROPN;SG 3;FIN;IND;PRS;SG;V _
if they did , premium bonds would be indistinguishable from ordinary savings accounts .	if they do , premium bond would be indistinguishable from ordinary savings account .	CONJ 3;NOM;PL;PRO FIN;IND;PST;V _ ADJ N;PL FIN;V NFIN;V ADJ ADP ADJ N;PL N;PL _
he co-starred as humphrey bogart 's younger brother , a carefree playboy , in sabrina ( 1954 ) , played by audrey hepburn .	he co-star as humphrey bogart 's younger brother , a carefree playboy , in sabrina ( 1954 ) , play by audrey hepburn .	3;MASC;NOM;PRO;SG FIN;IND;PST;V ADP PROPN;SG PROPN;SG PART ADJ;CMPR N;SG _ DET;INDF ADJ N;SG _ ADP PROPN;SG _ NUM _ _ PST;V;V.PTCP ADP PROPN;SG PROPN;SG _
this has not stopped investors flocking to put their money in the funds .	this have not stop investor flock to put they money in the fund .	PRO;SG 3;FIN;IND;PRS;SG;V NEG;PART PST;V;V.PTCP N;PL V;V.MSDR PART NFIN;V 3;PL;PRO N;SG ADP DEF;DET N;PL _
her 1981 album wild west was one of her biggest sellers .	she 1981 album wild west be one of she biggest seller .	3;FEM;PRO;SG NUM N;SG ADJ PROPN;SG 3;FIN;IND;PST;SG;V NUM ADP 3;FEM;PRO;SG ADJ;RL N;PL _
gaining recognition as an expert in the field , she took those skills back to the radium institute along with a small disc of polonium .	gain recognition as a expert in the field , she take those skill back to the radium institute along with a small disc of polonium .	V;V.MSDR N;SG ADP DET;INDF N;SG ADP DEF;DET N;SG _ 3;FEM;NOM;PRO;SG FIN;IND;PST;V DET;PL N;PL ADV ADP DEF;DET PROPN;SG PROPN;SG ADP ADP DET;INDF ADJ N;SG ADP N;SG _
on september 9 , 2002 , aldrin was lured to a beverly hills hotel on the pretext of being interviewed for a japanese children 's television show on the subject of space .	on september 9 , 2002 , aldrin be lure to a beverly hill hotel on the pretext of be interview for a japanese child 's television show on the subject of space .	ADP PROPN;SG NUM _ NUM _ PROPN;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP DET;INDF PROPN;SG PL;PROPN N;SG ADP DEF;DET N;SG CONJ V;V.MSDR PST;V;V.PTCP ADP DET;INDF ADJ N;PL PART N;SG N;SG ADP DEF;DET N;SG ADP N;SG _
people got killed there .	people get kill there .	N;PL FIN;IND;PST;V PST;V;V.PTCP ADV _
in color , the leaves show a great variety of greens , ranging from yellowish to bluish .	in color , the leaf show a great variety of green , range from yellowish to bluish .	ADP N;SG _ DEF;DET N;PL FIN;IND;PRS;V DET;INDF ADJ N;SG ADP N;PL _ V;V.MSDR ADP NUM ADP ADJ _
joseph schenck was interested in casting his wife , norma talmadge , opposite valentino in a version of romeo and juliet .	joseph schenck be interested in cast he wife , norma talmadge , opposite valentino in a version of romeo and juliet .	PROPN;SG PROPN;SG 3;FIN;IND;PST;SG;V ADJ CONJ V;V.MSDR 3;MASC;PRO;SG N;SG _ PROPN;SG PROPN;SG _ ADP PROPN;SG ADP DET;INDF N;SG ADP PROPN;SG CONJ PROPN;SG _
naturally , the office landscape features many clothes and little in the way of food .	naturally , the office landscape feature many clothes and little in the way of food .	ADV _ DEF;DET N;SG N;SG 3;FIN;IND;PRS;SG;V ADJ N;PL CONJ ADJ ADP DEF;DET N;SG ADP N;SG _
he gained further reputation at court once he was dispatched as an envoy to the khitan liao dynasty in the summer of 1075 .	he gain further reputation at court once he be dispatch as a envoy to the khitan liao dynasty in the summer of 1075 .	3;MASC;NOM;PRO;SG FIN;IND;PST;V ADJ N;SG ADP N;SG CONJ 3;MASC;NOM;PRO;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP DET;INDF N;SG ADP DEF;DET PROPN;SG PROPN;SG N;SG ADP DEF;DET N;SG ADP NUM _
the industrial revolution created a demand for metal parts used in machinery .	the industrial revolution create a demand for metal part use in machinery .	DEF;DET PROPN;SG PROPN;SG FIN;IND;PST;V DET;INDF N;SG ADP N;SG N;PL PST;V;V.PTCP ADP N;SG _
pedro sánchez , like many other socialists , said in the programme évole that spain is a nation of nations .	pedro sánchez , like many other socialist , say in the programme évole that spain be a nation of nation .	PROPN;SG PROPN;SG _ ADP ADJ ADJ N;PL _ FIN;IND;PST;V ADP DEF;DET N;SG PROPN;SG CONJ PROPN;SG 3;FIN;IND;PRS;SG;V DET;INDF N;SG ADP N;PL _
the disibodenberg cloister was disbanded and fell into ruin as a result of the reformation .	the disibodenberg cloister be disband and fall into ruin as a result of the reformation .	DEF;DET PROPN;SG N;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP CONJ FIN;IND;PST;V ADP N;SG ADP DET;INDF N;SG ADP DEF;DET PROPN;SG _
my next stop was bellingham , right up near the canadian border .	my next stop be bellingham , right up near the canadian border .	1;PRO;SG ADJ N;SG 3;FIN;IND;PST;SG;V PROPN;SG _ ADV ADV ADP DEF;DET ADJ N;SG _
the inner part of the region is flat and hilly , with no clear distinction between one area to the next .	the inner part of the region be flat and hilly , with no clear distinction between one area to the next .	DEF;DET ADJ N;SG ADP DEF;DET N;SG 3;FIN;IND;PRS;SG;V ADJ CONJ ADJ _ ADP DET ADJ N;SG ADP NUM N;SG ADP DEF;DET ADJ _
it aims to take the journey time into account after deducting this from the working hours actually completed , without being able to measure the real journey time .	it aim to take the journey time into account after deduct this from the working hour actually complete , without be able to measure the real journey time .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PART NFIN;V DEF;DET N;SG N;SG ADP N;SG CONJ V;V.MSDR PRO;SG ADP DEF;DET SG;V N;PL ADV PST;V;V.PTCP _ CONJ V;V.MSDR ADJ PART NFIN;V DEF;DET ADJ N;SG N;SG _
the 10 - week course has been " certified " by uk spy agency gchq .	the 10 - week course have be " certify " by uk spy agency gchq .	DEF;DET NUM _ N;SG N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP _ PST;V;V.PTCP _ ADP PROPN;SG N;SG N;SG PROPN;SG _
its importance resides in two facts .	its importance reside in two fact .	3;NEUT;PRO;SG N;SG 3;FIN;IND;PRS;SG;V ADP NUM N;PL _
explanations of the origin of music depend on how music is defined .	explanation of the origin of music depend on how music be define .	N;PL ADP DEF;DET N;SG ADP N;SG FIN;IND;PRS;V CONJ ADV N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP _
still , there are questions left unanswered .	still , there be question leave unanswered .	ADV _ PRO FIN;IND;PRS;V N;PL PST;V;V.PTCP ADJ _
that 's not what we need in our country , folks .	that be not what we need in we country , folk .	PRO;SG 3;FIN;IND;PRS;SG;V NEG;PART PRO 1;NOM;PL;PRO FIN;IND;PRS;V ADP 1;PL;PRO N;SG _ N;PL _
however , pyrrhus was forced to leave sicily in order to attend to business in southern italy .	however , pyrrhus be force to leave sicily in order to attend to business in southern italy .	ADV _ PROPN;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP PART NFIN;V PROPN;SG ADP N;SG PART NFIN;V ADP N;SG ADP ADJ PROPN;SG _
the event was known about in paris and caused more upset in a mood which was already charged by the persistently high price of bread and lack of provisions .	the event be know about in paris and cause more upset in a mood which be already charge by the persistently high price of bread and lack of provision .	DEF;DET N;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP ADP PROPN;SG CONJ FIN;IND;PST;V ADJ;CMPR N;SG ADP DET;INDF N;SG PRO 3;FIN;IND;PST;SG;V ADV PST;V;V.PTCP ADP DEF;DET ADV ADJ N;SG ADP N;SG CONJ N;SG ADP N;PL _
his more unusual accolades include global ambassador for new york city health and hospitals corporation , and a place at harvard business school .	he more unusual accolade include global ambassador for new york city health and hospital corporation , and a place at harvard business school .	3;MASC;PRO;SG ADV ADJ N;PL FIN;IND;PRS;V ADJ N;SG ADP PROPN;SG PROPN;SG PROPN;SG N;SG CONJ N;PL N;SG _ CONJ DET;INDF N;SG ADP PROPN;SG N;SG N;SG _
and by 2007 , at the height of its popularity ( and , perhaps , knightley 's ) it was a top 50 name , with three times more babies named keira than kiera .	and by 2007 , at the height of its popularity ( and , perhaps , knightley 's ) it be a top 50 name , with three time more baby name keira than kiera .	CONJ ADP NUM _ ADP DEF;DET N;SG ADP 3;NEUT;PRO;SG N;SG _ CONJ _ ADV _ PROPN;SG PART _ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PST;SG;V DET;INDF ADJ NUM N;SG _ ADP NUM N;PL ADJ;CMPR N;PL PST;V;V.PTCP PROPN;SG ADP PROPN;SG _
" unfortunately once again the few ruin it for the many , " wrote jesse labrocca , founder of hack forums , in a message explaining why the section was being closed .	" unfortunately once again the few ruin it for the many , " write jesse labrocca , founder of hack forum , in a message explain why the section be be close .	_ ADV ADV ADV DEF;DET ADJ FIN;IND;PRS;V 3;ACC;NEUT;PRO;SG ADP DEF;DET ADJ _ _ FIN;IND;PST;V PROPN;SG PROPN;SG _ N;SG ADP NFIN;V N;PL _ ADP DET;INDF N;SG V;V.MSDR ADV DEF;DET N;SG 3;FIN;IND;PST;SG;V V;V.MSDR PST;V;V.PTCP _
the photo clearly shows the narrow touch display bar above the keyboard that has been anticipated in rumors .	the photo clearly show the narrow touch display bar above the keyboard that have be anticipate in rumor .	DEF;DET N;SG ADV 3;FIN;IND;PRS;SG;V DEF;DET ADJ N;SG N;SG N;SG ADP DEF;DET N;SG PRO 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PST;V;V.PTCP ADP N;PL _
he could detect the effects of the election around him , in the bursts of conflict and the curious intersection of new ideas with old ones .	he could detect the effect of the election around he , in the burst of conflict and the curious intersection of new idea with old one .	3;MASC;NOM;PRO;SG FIN;V NFIN;V DEF;DET N;PL ADP DEF;DET N;SG ADP 3;ACC;MASC;PRO;SG _ ADP DEF;DET N;PL ADP N;SG CONJ DEF;DET ADJ N;SG ADP ADJ N;PL ADP ADJ N;PL _
four students at roma tre university have developed a motorcycle helmet that can ' read thoughts ' by helping to anticipate drivers ' actions .	four student at roma tre university have develop a motorcycle helmet that can ' read thought ' by help to anticipate driver ' action .	NUM N;PL ADP PROPN;SG PROPN;SG PROPN;SG FIN;IND;PRS;V PST;V;V.PTCP DET;INDF N;SG N;SG PRO FIN;V _ NFIN;V N;PL _ CONJ V;V.MSDR PART NFIN;V N;PL PART N;PL _
